,본문,날짜,리트윗,하트
32,"@since_208
 님에게 보내는 답글",2시간,,1
33,"@eYoaE1awKqIRPLv
 님에게 보내는 답글",2시간,,
34,"아아아ㅏ 틱톡 개귀여움 
우리 밋띠 죠랑있으면 항상 잇몸만개야",2시간,,
35,"@oeoeooh
 님에게 보내는 답글",2시간,,
36,"@Cff_was
 님에게 보내는 답글",2시간,,1
37,아 잇몸 마른당 ,2시간,,1
38,"하,....나 생님 솔리단보자마자 잇몸만개되부림",2시간,,3
39,"@tlqkf_sabito
 님에게 보내는 답글",3시간,2,
40,근데 지금 진짜 잇몸 야구단 상태라 어떡하지 다들 아프지마라 다치지마라,2시간,,
41,잇몸이 욱신욱신,2시간,,
42,"@bok_lov
 님에게 보내는 답글",2시간,,
43,아이씨 잇몸 말라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2시간,,
44,여보 저 잇몸 말라요 제발 그만 좀 귀여우시란 말이에요,3시간,,
45,진짜 너무 킹엽다..... 잇몸만개 미소 ◠‿◠ ....,3시간,,
46,"어제 무인 분위기 넘넘 좋았궁 생각보다x 대놓고o 커여운 고응성 때뮤네 잇몸마름 라잇또 헤메코로 말하고 소통하는 본체,, 을마나 재밌게여 공연 끝나면 스위치 온오프 확실하신ㅋㅋㅋㅋㅋ",3시간,,
47,엑사세 걍 도경수 귀여움 모음집인가.. 잇몸 살려...,3시간,,1
48,"@salgu1204
 님과 
@BTS_twt
 님에게 보내는 답글",3시간,,
49,아 나 잇몸이 말라버리네 기냥,3시간,,
50,"@manggaebehappy
 님과 
@BTS_twt
 님에게 보내는 답글",3시간,,1
51,"흐하하하하... 귀여워, 귀여워, 귀여워. (볼쪼물딱하고 머리 파닥파닥해줌)좋아.. 칫솔이라면 있으니까. 하지만 열번이나 하면 잇몸에서 피가 날텐데?(아화 머리칼 넘겨줌)나는.. 너한테 미쳤어.",3시간,,
52,으아 잇몸 부엇어,4시간,,
53,"설원대가 날 웃게하시고
설원대가 날 라미만개하게하시고
설원대가 날 잇몸악성건성으로 만드시네",4시간,,3
54,"겜하는여자들 ㄹㅇ남혐좀함
SNS잘안하고 롤위주로 겜하는내친구도 메갈페미 그런거잘모르고 남자들이욕으로쓰니까 욕인갑다라고 알정도로 세상만사관심없지만 남혐은 그누구보다 열심히함 심지어 남자들에게 형이라부르는데 그이유=오빠라는단어가 역겨워서 친오빠=호칭엄마아들 인생에서 사라줬으면함",4시간,1,1
55,"집에 침입해서 저의 머리(머리 전체 타격), 이마(타격), 저의 입과 항문으로 무엇들을 하는 것, 최면술, 치아, 고환, 전자파, 다리, 신체에 주사, 음경, 양쪽 겨드랑이, 무릎, 잇몸, 신체의 등, 어깨, 골반, 양쪽 턱과양쪽 광대뼈,옆구리 등등 저에게 가하는  쓰나미는 지금  현재까지도 진행형입니다.",4시간,,
56,아래 앞니 잇몸에 (사람)구내염 같은게 있는데 왜 이런건가요?ㅜ,4시간,,
57,어금니 맨 끝에 잇몸이 완전 동글동글 이보다 더 튀어나오게 부었는데 이거 뭐지? 어제 뭐 껴서 건들긴 했는데... 설마 사랑니는 아니겠지 물렁한데,4시간,,
58,오른쪽 잇몸부터 오른쪽 입술 오른쪽 코 느낌 이상해,4시간,,
59,"@teacup_commuac
 님에게 보내는 답글",4시간,,
60,"@manggaebehappy
 님과 
@BTS_twt
 님에게 보내는 답글",3시간,,1
61,"흐하하하하... 귀여워, 귀여워, 귀여워. (볼쪼물딱하고 머리 파닥파닥해줌)좋아.. 칫솔이라면 있으니까. 하지만 열번이나 하면 잇몸에서 피가 날텐데?(아화 머리칼 넘겨줌)나는.. 너한테 미쳤어.",3시간,,
62,으아 잇몸 부엇어,,,
63,"@mumm124
 님에게 보내는 답글",5시간,,
64,한시간 동안 엄마 미소 지으면서 라이브 보는 나…. 잇몸이 사막 #lorealuvdxzeenunew,5시간,1,
65,잇몸이 부었나,5시간,,
66,"@gyugyugyagya_
 님에게 보내는 답글",5시간,,
67,"@thrrrck
 님에게 보내는 답글",5시간,,1
68,"독일은 밤이고 한국은 아침이라서

잘자요!! 아잇..  굿..모닝 ~~ 
저흰 자러 갈게요

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아나 잇몸미소",5시간,,2
69,사랑니 세개가 한번에 지랄나서 잇몸 아파 죽겟어,6시간,,1
70,좋아하는 그림을 보면 잇몸 드러내고 울어버린다,6시간,,
71,10타수만에 안타 치고 잇몸만개 ㅋㅋㅋㅋㅋㅋ,6시간,,
72,"@jo_mi_1119
 님에게 보내는 답글",6시간,,
73,잇몸이 마르네요 껄껄 아 달라고 하길 잘했네요,6시간,,1
74,"@cchun99
 님에게 보내는 답글",6시간,,
75,"너무 웃겨 완전 워터픽 처음썼을때의 나임
거기다 그땐 잇몸 염증이 심해가지고 가장 약한단계 썼는데 거의 모든 잇몸에서 피나가지고 피줄줄흐르는 호러블한 상황이ㅋㅋㅋ 그리고 진짜 완전 아팠다 이게..맞나..?싶어서 그만쓰려다가 치과에서 염증이 심해서 그래요 계속 써보세요 해서 꾸준히 썼더니",6시간,,2
76,"존나 웃기다
잇몸 뜯겨져 나가는줄 알앗슴ㄹㅇ",6시간,,
77,"@cupo_cu
 님에게 보내는 답글",6시간,,
78,"아씨바그래 개비스콘!!!!!!!!
잇몸아플때는 이가탄;",6시간,,
79,"@cchun99
 님에게 보내는 답글",6시간,,
80,"너무 웃겨 완전 워터픽 처음썼을때의 나임
거기다 그땐 잇몸 염증이 심해가지고 가장 약한단계 썼는데 거의 모든 잇몸에서 피나가지고 피줄줄흐르는 호러블한 상황이ㅋㅋㅋ 그리고 진짜 완전 아팠다 이게..맞나..?싶어서 그만쓰려다가 치과에서 염증이 심해서 그래요 계속 써보세요 해서 꾸준히 썼더니",6시간,,
81,"어어 노래 좋다 좋다 ㅎ 아무것도 안들리고 좋다 ㅎ
하면 어? 안들리는쪽 줬어? 하면서 잇몸 잔뜩 드러내며 웃는 균이 옆에서 복식호흡으로 웃어주기",7시간,,
82,팝콘을 먹었더니 팝콘 껍질이 잇몸 사이에 들어가 양치를 해도 며칠째 빠지지 않고 피가 나는것에 대하여,7시간,1,2
83,으아아 윗잇몸 까졋어ㅜㅜㅜ,7시간,,1
84,"@RA0NJENA
 님에게 보내는 답글",7시간,,
85,"@4nb_3_
 님에게 보내는 답글",7시간,,
86,"“잇몸이 마르다”

김건희 여사를 알현한 윤호중 입 찢어지는 사진 보고 실감됐던 표현",7시간,,1
87,얌생즈 이럴 때마다 잇몸 말라서 큰일났어 .. .,7시간,47,54
88,댕댕이 리액션에 따른 상황별 인사법.동이는 머리가 좋아서 기분과 사람에 따라 저 리액션이 달라진다.  어무니한테는 동이가 늘! 궁디를 들이내미는데 이 영상을 어무니께 보여드리니 동물싫어하시는 어무니 잇몸만개하셨다(어무니한테는 충성파인 동이) 반대로 나에게는 저 리액션들 다 보임..,7시간,,2
89,ㅋㅋㅋㅋㅋ…다른것보다..ㅋㅋㅋㅋㅋㅋㅋ…ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 너무 재밋음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쟤네는 버그잔치하느라 혼파망인데 구경하는 아는 잇몸악건성ㅋㅋㅋㅋㅋㅋㅋ,7시간,,1
90,"아 진짜 귀엽다
잇몸만개 함",7시간,,
91,".
행복은 잠
해소
울고 난 느낌
불면증이 있다면
머리맡에 난로를 바짝 대고 주무세요
주변은 서늘하게
카페인 절제
탈모 증상이 있을 때도 머리를 감고 불을 쬐며 잔다
눈이 피로할 때도 눈을 난롯불에 쬔다
잇몸이 붓거나 피가 나면 충치 치료. 스케일링
겨울은 난로 쬐는 재미",7시간,,
92,이가 없으면 잇몸으로 먹는 우리들ㅋㅋㅋㅋ칼이 없어서 (깨끗한) 혀클리너로 치즈 잘라 먹었음ㅋㅋㅋㅋㅋ,7시간,,8
93,"■김건희 여사에 ‘잇몸웃음’ 민주당 수장 윤호중…윤석열 대통령에겐 “이재명 죽이려 해선 안돼”
헤럴드경제 2022-05-14 정태일 기자
https://blog.daum.net/bstaebst/48323 

더불어민주당 윤호중 공동비상대책위원장이 이재명 인천 계양을 국회의원 보궐선거 후보자 보호에 적극 나서고 있다.",7시간,,
94,"마약쟁이들은

성형수술이 안돼요.

피가 안멈춰요.

지방종(신경초종 으로 판명) 추측으로
수술해서 바둑알크기 나왔는데

이주삼주
소독다녔는데
피 안멈추고
계속 흘러 나오니까

의사쌤이
내 잇몸 검사하더라.",8시간,3,2
95,아 대체 잇몸에 왜 난것이냐 하필 앞니 위 잇몸에 뭐 나서 뭐 먹을 때마다 아파,8시간,,
96,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… YQycX",8시간,,
97,ㅋㅋㅋㅋㅋ…다른것보다..ㅋㅋㅋㅋㅋㅋㅋ…ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 너무 재밋음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쟤네는 버그잔치하느라 혼파망인데 구경하는 아는 잇몸악건성ㅋㅋㅋㅋㅋㅋㅋ,7시간,,1
98,"아 진짜 귀엽다
잇몸만개 함",7시간,,
99,".
행복은 잠
해소
울고 난 느낌
불면증이 있다면
머리맡에 난로를 바짝 대고 주무세요
주변은 서늘하게
카페인 절제
탈모 증상이 있을 때도 머리를 감고 불을 쬐며 잔다
눈이 피로할 때도 눈을 난롯불에 쬔다
잇몸이 붓거나 피가 나면 충치 치료. 스케일링
겨울은 난로 쬐는 재미",7시간,,
100,이가 없으면 잇몸으로 먹는 우리들ㅋㅋㅋㅋ칼이 없어서 (깨끗한) 혀클리너로 치즈 잘라 먹었음ㅋㅋㅋㅋㅋ,,,
101,잇몸 다 마름요,8시간,,
102,"자고일어나니까 왼쪽턱이 엄청나게 고통스럽고 잇몸맨뒤 저부분이... 어제까진 멀정했던것이 갑자기 너덜거리면서 출혈을일으키는데.. 왜,,갑자기이러는지 알수가없다... 오래된 리스테린으로 가글해서,,?? 특별히 한일이라곤 이거말고 생각나는게업슨데... 존나아파ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ",8시간,,
103,"김건희 앞 윤호중 '잇몸 만개'
""낮에는 민주당, 밤에는 국민의적. 아주 좋아 죽는다""
""역겨움이 하늘을 찌른다""
""헤벌쭉 좋아 죽는 모습, 민주당 망신이다""
""정권 내주고도 시시덕거리는 게 비대위원장이냐""
지지층 격노
https://joongang.co.kr/article/25070421…

민주당을 욕보이는 윤호중과 박지현은 당장 물러나라!",8시간,,
104,발치한지 얼마됐다고 다른쪽에서 사랑니가 자라고있음... 가정의 달인 5월에 자라는 사랑니이니 부모님을 더 사랑하라는 뜻이겠지.... 아무튼 잇몸이 자꾸 헐어,8시간,,
105,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… OtO2o",8시간,,
106,"울 언니 어캄 ㅜㅜ
사랑니 레전드 매복수평으로 났는데
잇몸 완전 끝에 있고 어금니랑 붙어있어서
일반 치과에서는 안 뽑아준대..
ㅈㄴ 불쌍함",9시간,,1
107,3개월 만에 선발인데...이 대신 잘 버틴 '잇몸' 산체스 http://m.newspic.kr/view.html?nid=2022051309261719854&pn=88&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051309261719854&utm_source=np220316K8cTT66w… U4jjL,9시간,,
108,"공원 산책길 

유치원생 정도 된듯한 공주님 분홍 원피스 나풀 거리며 잔디 꽃구경
그 뒤로 아빠는 아이 가방 점퍼 들고
따라가는중 따님이 뒤돌아 옷 거꾸로
들면 안된다 하니 아~ 그거는
이렇고 저렇고 하면서 변명하고 계시는데 잇몸 만개하신 딸바보 아빠

#BTS #BTS_BUTTER 
@BTS_twt",9시간,11,13
109,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… P0pAa",9시간,,
110,"@8dy0fzSc1ds6Z7M
 님, 
@agathahjo
 님, 
@BTS_twt
 님에게 보내는 답글",9시간,,1
111,"정말 백현이 영상보면서.
나 웃음이 많은 사람이구나.와 잇몸이 마른다.를 체험하고 있다.",9시간,,
112,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… YQycX",,,
113,"제에발 잇몸야구 다시 달라고 외치는 일이 없길 바란다 얘들아 
근데 사실 이제 잇몸도 아님 ㅠ",10시간,1,
114,"이 가 없으면 잇몸으로
하하하
가보겠습니다
하하하 웃으면
5월31일까지 웃으며
하하하 기죽지 않겠습니다
하하하",10시간,,1
115,직장인-대학생신분으로 연애하는도젱 특 : 김덩우가맨날 도발하는 큐티섹시st말하면 김됴영 덩우야제발 ;; 하면서도 마스크속으로 잇몸웃음지음,10시간,,4
116,"@MiiNenffl
 님에게 보내는 답글",10시간,,
117,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… akgJU",10시간,,
118,"제에발 잇몸야구 다시 달라고 외치는 일이 없길 바란다 얘들아 
근데 사실 이제 잇몸도 아님 ㅠ",10시간,1,
119,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… 201bR",11시간,,
120,"아 엑사세 진짜 미치겠따,,,,
이렇게 무해한 사람들이 있어요?
잇몸 다 말랐네",11시간,,
121,야 정신 피폐하다가 오랜만에 혜성이 등장하니까 그래도 잠깐 잇몸 보일 수 있었음 고맙다 오타쿠대학원생아,11시간,,
122,기분 개같이 멸망했다가 이거 보고 넘 웃겨서 지금 잇몸전개함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,11시간,,
123,떼잉 피곤해서 그런지 잇몸이 다 부었음,11시간,,
124,"후기추가+++
첫 넘버부터 설렘 만땅으로 시작해서 마지막 넘버까지 감동가득 뭔가 벅참과 감동,눈물까지 다있었던 그런 공연ㅠㅠㅠ첫등장부터 와하람 그자체였고 100분내내 마스크안에서 광대폭발..잇몸마름을 느낀,,
#태양의노래 #태양의노래첫공후기 #태양의노래와이 #최성윤",12시간,,1
125,씨익씨익잇몸만개….,12시간,,
126,나더러 이를 뽑아버리라고? 그건 족쇄를 끊는 일과는 성격이 달라! 잇몸으로 맨살을 물어뜯다 말라 죽고 말 거야!,12시간,,
127,발포가 되는 게 느껴지는데 꿈속이라 더욱 그... 발포되는 게... 그 순간이 길게 느껴지는 거야... 차마 피하지도 못하고 그냥 그 순간 그러다 깸... 나 점이 입술 위에 있어서 이빨이랑 잇몸 사이였거든...ㅋ 걍... 걍 죽는 거였다고... 왜 이런 꿈을...,12시간,,
128,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… BSiXW",12시간,,
129,"@soon_intro
 님에게 보내는 답글",12시간,,
130,어제 고3인 우리 조카 공부하느라 고생 한다고 강호동 흉내를 내줬다. 잇몸을 보여주더라. 근데 이제 실력이 예전같지 않아.,12시간,,4
131,아...얼마 전에 먹다가 잇몸 씹은 부분 신경 쓰여서 조심히 밥 먹고 있었는데 또 씹었어....개빡쳐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ아프다.......,12시간,,
132,,12시간,,
133,발포가 되는 게 느껴지는데 꿈속이라 더욱 그... 발포되는 게... 그 순간이 길게 느껴지는 거야... 차마 피하지도 못하고 그냥 그 순간 그러다 깸... 나 점이 입술 위에 있어서 이빨이랑 잇몸 사이였거든...ㅋ 걍... 걍 죽는 거였다고... 왜 이런 꿈을...,12시간,,
134,"'김건희에 잇몸웃음' 윤호중, 尹대통령에 ""이재명 죽이려 해선 안돼"" http://m.newspic.kr/view.html?nid=2022051414070130804&pn=488&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051414070130804&utm_source=np220316K8cTT66w… BSiXW",12시간,,
135,"@soon_intro
 님에게 보내는 답글",12시간,,
136,,14시간,,
137,"@backsuk_
 님에게 보내는 답글",14시간,,1
138,"@opherdz_2
 님에게 보내는 답글",14시간,,
139,"@2O191122
 님에게 보내는 답글",15시간,,
140,몹싸만 보면 잇몸 마름 애들 너무 귀여워서 ㄱ ㅡ,15시간,,
141,"@dduddu_hl09
 님에게 보내는 답글",15시간,,
142,방금 전까자 내적 삽질 하다가 이거 보고 잇몸 웃음,16시간,,
143,얼음물고싶다...잇몸이 너무 아파 짜증나...,16시간,,
144,"@prttyboyfetish
 님에게 보내는 답글",16시간,,
145,"#우리들의블루스 E11
#이영옥 #한지민 #박정준 #김우빈 

아 얘네 때매 잇몸말라서 미치겠음 ;;;

https://bit.ly/3a1hPwp
https://bit.ly/3FPotSm",16시간,29,53
146,역대급pms 장이 실시간으로 조져지는중인데다 먹은지 6시간된 저녁식사 아직도 얹혀있고 허리랑 대가리랑 잇몸이 개아파요 죽을거같아요 생리씨발남자도해칼갖고랄부찟어버려진짜죽어,17시간,,
147,요즘 잇몸이 자꾸 부음..그리고 일도 그닥 어렵지않고 사람들도 좋은데 자꾸 머리 빠지고 존나 피곤함 왜이러지,17시간,,3
148,아 이씨팔..잇몸 부었음 미친,17시간,,
149,잇몸 마를뻔..,17시간,,
150,입 열고있을때 잇몸 보이는 그런 그림 좋아,17시간,,
151,"@yareyaredaze_ww
 님에게 보내는 답글",17시간,,
152,얼음물고싶다...잇몸이 너무 아파 짜증나...,16시간,,
153,"@prttyboyfetish
 님에게 보내는 답글",16시간,,
154,"#우리들의블루스 E11
#이영옥 #한지민 #박정준 #김우빈 

아 얘네 때매 잇몸말라서 미치겠음 ;;;

https://bit.ly/3a1hPwp
https://bit.ly/3FPotSm",16시간,29,53
155,역대급pms 장이 실시간으로 조져지는중인데다 먹은지 6시간된 저녁식사 아직도 얹혀있고 허리랑 대가리랑 잇몸이 개아파요 죽을거같아요 생리씨발남자도해칼갖고랄부찟어버려진짜죽어,17시간,,
156,요즘 잇몸이 자꾸 부음..그리고 일도 그닥 어렵지않고 사람들도 좋은데 자꾸 머리 빠지고 존나 피곤함 왜이러지,17시간,,
157,만화 넘 귀여워서 잇몸 완전 개방,19시간,,1
158,3개월 만에 선발인데...이 대신 잘 버틴 '잇몸' 산체스 http://m.newspic.kr/view.html?nid=2022051309261719854&pn=88&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051309261719854&utm_source=np220316K8cTT66w… T11rr,19시간,,
159,잇몸이부엇는지...멀먹어도 괴로버...,19시간,,
160,하 심심해서 옛날 영통팬싸 영상 몰아보다가 잇몸 악성건조됨,19시간,,
161,"낼 등산한다고 일찍 자야하는데 오늘 하루종일 겜만하다가 트위터 들어왓더니
멜로님께서 노자키군을 재미잇게 보고 계신다는 것에 함박미소 짓다가 잇몸마름",19시간,,2
162,"@QnQnRhqn
 님에게 보내는 답글",19시간,,1
163,아 김쭁h 궈여워서 잇몸 마름,19시간,,
164,"직알 너굴 진짜 나 같애 ㅠㅠㅋㅋㅋㅋㅋㅋㅋ 덧니 교정하고 맨날 잇몸만개하고다녔던 ,,, ",19시간,,
165,"@siku_Q2
 님에게 보내는 답글",19시간,,
166,3개월 만에 선발인데...이 대신 잘 버틴 '잇몸' 산체스 http://m.newspic.kr/view.html?nid=2022051309261719854&pn=88&cp=K8cTT66w&utm_medium=affiliate&utm_campaign=2022051309261719854&utm_source=np220316K8cTT66w… qTGEj,19시간,,
167,오... 한쪽은 사랑니 때문에 잇몸이 찢어지는 고통 + 이빨에 긁혀서 혀가 피나고 헐었고 다른쪽은 입병나서 말하든 밥을먹든 그냥있든 어마어마한 고통이 느껴지는데~,19시간,,2
168,"@Nachocho0
 님과 
@reinaki63678780
 님에게 보내는 답글",19시간,,1
169,근데 또 그냥 단순히 덧니만 내리는 게 아니라 잇몸? 아무튼 이가 있는 공간 자체를 넓히고 넓적한 이들도 적당히 예쁜 모양으로 만드는 것까지 해준다고 하니까.. 진짜 걍 새로 만들어내는 대공사수준이라 얼굴형도 좀 바뀔 수 있지 않을까..라는 얄팍한 기대감이 잇음 (,19시간,,
170,물론 모든 작가님들이 그렇겠지만 연재끝난 전 작품보다가 지금 연재하는 작품이랑 비교하면 이 갈다못해 잇몸 갈아넣어서 진짜 각오하고 돌아오신 분들이 보임...진짜 멋진 분들...,19시간,,3
171,"@explorer9xx
 님에게 보내는 답글",19시간,,
172,"낼 등산한다고 일찍 자야하는데 오늘 하루종일 겜만하다가 트위터 들어왓더니
멜로님께서 노자키군을 재미잇게 보고 계신다는 것에 함박미소 짓다가 잇몸마름",19시간,,2
173,"@QnQnRhqn
 님에게 보내는 답글",19시간,,1
174,아 김쭁h 궈여워서 잇몸 마름,19시간,,
175,"직알 너굴 진짜 나 같애 ㅠㅠㅋㅋㅋㅋㅋㅋㅋ 덧니 교정하고 맨날 잇몸만개하고다녔던 ,,, ",19시간,,
176,"@siku_Q2
 님에게 보내는 답글",,,
177,"@Deepsea_wooruck
 님에게 보내는 답글",20시간,,
178,"입병 너무 심해ㅜㅜㅜ
씹어서 헐은거 갑자기 지멋대로 헐은거 실금있는어금니 거기 잇몸염증ㅅㅂ
물도 먹기 싫다ㅜㅜㅜㅜ",20시간,,
179,"@passionmanic1t2
 님에게 보내는 답글",20시간,,1
180,나도 사투리 스페 들어가고 싶다｡｡｡｡ 잇몸 째져서 발음안되고｡｡｡｡ 교정기 껴서 발음 안되고｡｡｡ 아파서 말 못하겠음｡｡｡,20시간,,
181,"@p2ss1m1st1c
 님에게 보내는 답글",20시간,,
182,"@ariameru
 님에게 보내는 답글",20시간,,1
183,치아 신경치료 한다고 국소마취했는데 잘 안들어서 주사 한 스무번 박은듯...잇몸 아직도 얼얼 욱씬거림...죽겟다,20시간,,1
184,미친.. 귀로 눈 막으면서 부끄러워하는거 개오바다… 잇몸 마르도록 웃는중 ㅅㅂ…,20시간,,
185,존나 ...... 잇몸만개 개저웃음임....... ,20시간,,5
