,내용,별점,재구매,한달사용기,종류,년,월,일
22,좋아요ㅎㅎㅎ슬림형이 왜 슬림형인지는 모르겠는데 모가 엄청 부드럽지는 않아요 그냥 일반모정도입니다ㅎ,5,0,0,6,2019,12,31
23,아이가교정중인데 너무괜찮네요. 잘쓰고또사러올께요,5,0,0,1,2019,12,31
24,어린이용인데 칫솔모가 작아서 구석구석 잘 닦여서 좋아요 강추합니다 낱개덮개가 있어서 보관하기도 좋구 가지고 다니기도 아주 편리합니다,4,0,0,1,2019,12,31
25,가격대비 만족합니다 낱개덮개가 있어서 아주 좋아요 모가 탄탄하네요,4,0,0,3,2019,12,31
26,배송이 굉장히 빨라요 오전에 주문하고 다음날 오후에 받았어요 어른칫솔은 늘 쓰던거라 괜찮아서 또 주문합니다 아이칫솔은 지인이 쓰는거 보고 괜찮다하여 주문해봤어요 손잡이가 두툼하니 안정감있어보이네요,5,0,0,2,2019,12,31
27,교정 중이라 전용칫솔이 필요해서 구매했어요. 배송 굉장히 빠릅니다! 칫솔이 하나하나 플라스틱 뚜껑이 있어서 휴대하기도 좋아요~,5,0,0,3,2020,1,1
28,리뷰보고 샀어요  끄트머리가 가늘어서 잇몸새도 잘 닦여요,5,0,0,1,2020,1,1
29,쓰던 제품이예요. 재구매했어요. 치과 칫솔이라 믿고 사용하고 있어요.,5,0,0,2,2020,1,1
30,당일날 발송되구요 칫솔도 좋아용 고급이 훨씬 좋아요!,5,0,0,2,2020,1,2
31,배송 정말 빨라요~ 아직 사용 안해봤지만 외관상 좋은 것 같아요,5,0,0,7,2020,1,2
32,아직 사용전이라 제품은 잘 모르겠지만 배송은 엄청 빠르네요 칫솔헤드 부분이 작아서 가지고 다니기 편할거같아요,4,0,0,7,2020,1,2
33,칫솔이 부드럽고 잘닦이네요 잘산것같아요,5,0,0,1,2020,1,2
34,에요 칫솔모가 부드러워 잇몸이 아프지 않고 잘 닦여요,5,0,0,2,2020,1,2
35,좋아요 저렴하지만 부드럽고 좋아요 자주 교체해주려고요,5,0,1,7,2020,1,2
36,칫솔 이거저거 다 써봤는데 이만한게 없네요. 부드러우면서 탄탄한 모 라 칫솔질도 잘 되고 잇몸도 안아프고 좋아요. 가성비 최고에요.,5,0,0,2,2020,1,2
37,항상 여기서 구매합니다. 좋아요!!,5,1,0,2,2020,1,3
38,두번째 구매예요 딸아이가 교정중인데 다른제품 쓰다가 여기 칫솔이 더좋다고 그러네요 앞으로 계속 여기서 구매해야겠어요~~,5,1,0,3,2020,1,3
39,너무 좋아요 다음에 또 애용할게요!!!,5,0,1,1,2020,1,3
40,"예전부터 쓰던 칫솔인데, 인터넷에서 찾아보니 여기가 제일 싸네요. 배송도 하루만에 왔어요. 대형 마트나 이런데서 파는 칫솔보다 훨씬 좋아요. 이번에 아이것도 구매했는데, 한번 써보고 지인들한테 선물로 드릴 생각입니다. 지인들이 너무 좋아하시더라고요. 많이 파세요.",3,0,0,2,2020,1,3
41,교정중일때도 여기서 계속 재구매해서 사용했는데 다 끝나서 일반칫솔도 구매해요,5,1,0,1,2020,1,3
42,치아교정하고 나서 칫솔을 자주 바꾸는데 마트보다 저렴해서 좋아요 쓰다보면 가끔 치아교정기에 칫솔모가 걸려서 빠지는 경우가 가끔 있었는데 그점만 제외하면 좋아요 나중에 또 재구매 할거예요~,4,0,1,3,2020,1,3
43,"예전부터 쓰던 칫솔이라 또 구매했어요. 가격 비교해 보니 여기가 제일 싸더라고요. 아이도 이제 커서 아이것도 구매 같이 했습니다. 지인들한테 연말연시 선물해 드리면 첨엔 뭔가 하다가 써 보시고, 나중에 어디서 샀냐고 문의를 주시더라고요. 정말 유용하게 잘 쓰고 있는 상품 중에 하나입니다. 배송도 빠르고 좋네요. 많이 파세요~",3,0,0,2,2020,1,3
44,예전에 치과에서 구입해서 쓰건 것과 같아요 잘 닦이고 좋아요,5,0,0,7,2020,1,3
45,부드러운 모 인줄 알았는데 생각보다 안부드럽고 칫솔이 너~~~무 작음... 초딩용 ㅠ,3,0,1,7,2020,1,3
46,칫솔은 인터넷으로 처음 주문해봤는데 치과전용이라서 안심하고 주문했어요ㅋ아직 써보진 않았지만 써보고 좋으면 계속 재구매할게요,5,0,0,2,2020,1,4
47,치아 교정기 보철 장착하고 칫솔을 전용 칫솔로 변경 했습니다  특이한건 중간이 파여 있다는거죠 ㅎㅎ,5,0,1,6,2020,1,4
48,마모도 심하지않고 부드러우면서도 개운하게 양치되는게 참 좋네요^^ 재구매 오만프로~~  계속 좋은제품 부탁드려요,5,0,1,2,2020,1,4
49,만족하고 사용해요 이전에도 구입했습니다에,5,0,0,2,2020,1,4
50,매번 교정떄문에 불편했던걸 이 칫솔 사용후 편하게 사용중입니다.,5,1,0,2,2020,1,5
51,남편이랑 제꺼 일년치 칫솔 구매했어요. 괜찮은거 같아요. 치아도 잘 닦이는 기분이예요. 잘쓸께요~~^^,5,0,0,2,2020,1,5
52,항상쓰던거에요 배송빠르네요,5,1,0,2,2020,1,5
53,동생이 교정해서 인터넷에서 최저가로 찾아서 구매했습니다. 교정칫솔이 있는걸 처음 알았는데 잘 쓰고 있다고 합니다. 구매 강추드려요,5,0,0,6,2020,1,5
54,배송빨라요 예전에한번 구매하고돌고돌아재구매합니다,5,0,0,1,2020,1,5
55,일단 차이는 크게 모르겠는데 얇아서 좋은거 같아요 ㅋ,5,0,1,1,2020,1,5
56,기존에는 마트에서 파는 일반 미세모를 즐겨썼습니다.이번에 아이 칫솔 구매하면서 어른것도 잘닦이는 걸로 찾아보다가 주문했는데 정말 좋아요!! 고급이중미세모 써봤는데 플라그가 느껴지는 것없이 매끈해지더라구요ㅎ 일반칫솔은 덜 닦인 찝찝함이 있었는데 이건 그런게 없어서 놀랍기도하고 상쾌했어요~정말 추천할만해요! 부모님도 사드릴까해요~ 많이파세요~,5,0,0,7,2020,1,5
57,아직써보진못했네요 하지안 전에사용해보고 마음에들어구입했어요,4,0,0,2,2020,1,5
58,배송도 빠르고 우선 제품을 사용해보니 좋네요 더 써보고 다시 후기 올릴수 있으면 올릴께요,5,0,0,2,2020,1,6
59,요번에도 또중순했어요 요번엔 아이들이중미세모로 주문했는데 아이가좋아하는거같아요 부드려운걸아는건지,4,0,0,1,2020,1,6
60,지금 다써서 재구매하고 사용중이예요 교정하시는분들은 이 칫솔 추천이요~,5,0,0,3,2020,1,6
61,시중에파는 칫솔은 입몸이 상처가 잘나서 항상 구입해서 쓰는 제품입니다,4,0,1,1,2020,1,6
62,사용 재구매 상품이네요 수고하세요,4,0,0,2,2020,1,6
63,치과용 칫솔을 저렴하게 구입하고 모도 부드러워서 다음에 또 구매할게요 ㅎㅎ,5,0,1,7,2020,1,6
64,매번 쓰는 칫솔이예요~~ 헤드가 크지않아 초등학생이 쓰기에도 좋네요~,5,0,0,1,2020,1,7
65,계속 재구매하고있어용 좋습니다~,5,0,0,2,2020,1,7
66,잘쓰고 있어요. 써보고 좋아서 부모님댁에도 하나 보냈네용,5,0,0,2,2020,1,7
67,또 구매 할게요. 감사합니다.,5,0,1,3,2020,1,7
68,이거쓰면 아주 개운해서 양치한느낌이 나요 잇몸이 안좋으신분들은 조금더 부드러운모를 추천드려요 저는 강한모를 좋아해요,5,0,0,3,2020,1,7
69,항상 사용하는거라 구매 했어요,5,0,0,1,2020,1,7
70,가성비 최고입니다. 다른 칫솔은 못 쓰겠어요,5,0,0,1,2020,1,7
71,저번에도 잘 썼어서 이번에는 신랑꺼랑 같이 시켰어용~ 서비스로 주신 치실 감사합니다~^^ 생각지도 못했는데... 이번칫솔도 잘쓸께요,5,0,0,1,2020,1,7
72,늘쓰는 제품~!! 저렴하게사서 좋아요,5,0,0,2,2020,1,7
73,정말 좋아요  처음써보는데요 혀닦기가 제일좋아요,5,0,0,3,2020,1,7
74,확실히 좋네요. 이제껏 써오던 페**칫솔이랑 비교불가네요 개운한 느낌이 종일 지속되는듯,3,0,0,7,2020,1,7
75,생각했던것보다 칫솔헤드가 크지만 구석구석 잘 닦여요 좋아요,4,0,0,2,2020,1,7
76,감사합니다~ 서비스로 주신 치실도 잘쓸께요^^,5,0,0,1,2020,1,7
77,저렴한 가격으로 적당한 제품 찾았습니다. 부드럽고 잘 닦이는거 같네요,5,0,0,7,2020,1,7
78,치과에서 처음에 받은거랑 동일 모델인 것 같아요~! 교정하는 동안.. 잘 쓰겠습니다!ㅋㅋ,5,0,0,1,2020,1,7
79,좋아요 부드럽지만 잘 닦입니다,4,0,1,2,2020,1,7
80,평소 칫솔 머리부분이 작은 걸 주로 쓰고 딱딱한거보다 부드러운걸 사용했었는데 이 칫솔이 저한텐 딱 맞는거 같습니다. 또 사진처럼 개별적으로 뚜껑이 각각 있어 위생적이고 여행시 따로 준비할필요가 없어 좋은거 같습니다,5,0,0,2,2020,1,8
81,잘닦이고 좋네요 색도 다양하게 왔어요,5,0,0,7,2020,1,8
82,사고 보니 치과에서 준 칫솔과 같네요~ 잘 쓰겠습니다~^^,5,0,0,1,2020,1,8
83,부드럽고 사용감 넘좋아요,5,0,1,2,2020,1,8
84,써보진않았지만 치과칫솔이역시나젤좋긴한걱같아용 ㅎㅎ,5,0,0,7,2020,1,8
85,배송도 빠르고 쓰던 칫솔이라 재구매해요~,4,0,0,1,2020,1,8
86,항상애용하는상품이에요~이만한개없어요,5,1,0,2,2020,1,8
87,칫솔모가 부드러워서 좋아요,5,0,0,2,2020,1,8
88,늘사용하던거고 임산부라 부담없이 좋아요. 아들도 칫솔모가 부들부들하다면서 좋아하네요^^,5,0,0,2,2020,1,8
89,부드럽고 사용감 정말좋아요,5,0,1,2,2020,1,8
90,포장깔끔하고요 칫솔 잘닦이고 좋네요,5,0,0,2,2020,1,8
91,치과전용이라서 믿고 구매했어요,4,0,0,2,2020,1,9
92,아이가 잘사용합니다 많아서 좋네요  잘쓰겠습니다,5,0,1,2,2020,1,9
93,교정중이라 교정용칫솔구매했어요! 잘쓰겠습니다^^~,4,0,0,6,2020,1,9
94,마트에서 저렴이 삿더니 잘 닦이지더 않고 치석만 엄청 생겼어요 ㅠㅠ 교정칫솔 진짜 좋네요 잘쓸게요~~,5,0,0,3,2020,1,9
95,좋아서 다섯번째로 시켜서 쓰고 있어요 배송도 빠르고 꼼꼼해요,5,1,0,7,2020,1,9
96,"매번 사서 쓰는데 쓸때마다 느끼는데,  진짜 좋은거같아요!  이가 약하신 분들도 다 사용하시는데 문제   없을정도로 부드럽고 좋아요!  매번 만족하면서 사용하고 있습니다~",5,0,0,2,2020,1,9
97,늘 쓰던거예요 배송 빠르고 좋아요,5,1,0,1,2020,1,9
98,늘 고급으로만 썼었거든요. 이번엔 이중모 구매해서 써봤는데 좀더 잘 닦이는 느낌입니다.,5,1,0,2,2020,1,9
99,배송 빠르고 좋아요 재구매 예정입니다~ 저는 빳빳한 모가 좋더라구요 잘 안닳아지고,5,0,0,7,2020,1,9
100,칫솔모가 작아서 구석구석 닦을수 있어 좋네요~,4,0,0,2,2020,1,9
101,이번에 새로 나온 제품 좋은 것 같아요. 더 잘 닦이는 느낌입니다,5,1,0,2,2020,1,9
102,교정중이라 주기적으로 구매해서 사용중입니다. 저령하고 빠른배송 감사합니다,5,0,0,1,2020,1,9
103,또 구매하러 왔어요 사용해보니 헤드가 작아서 깊은곳까지 양치할수있어서 좋아요 사은품도 고맙습니다,5,0,0,3,2020,1,10
104,잘 받아습니다. 개별 칫솔보호 케이스는 낭비인데 없애고 소매가를 낮추는게 어떨까싶네요.,4,0,0,2,2020,1,10
105,깔별이라 좋아요  좀 더 부드러우면 좋겠지만  잘 쓸게요 ㅋㅋ,5,0,0,4,2020,1,10
106,항상쓰는치과칫솔 요번에  초 1  아들위해구매했어요,5,1,0,7,2020,1,10
107,항상 쓰고있습니다. 그런데 한달에 한번꼴로 바꾸는 내구성이에요 한 3주쯤되면 슬슬 모가 벌어집니다 그거외에는 직선손잡이나 일정한 모의 모양이나 아주 좋아요,5,1,0,2,2020,1,10
108,아직 사용 전이지만 솔의 강도는 적당해 보입니다. 단 사진보다 크기가 너무 작아 놀랐습니다. 일반 칫솔인데 아동용인 것 같아요. 참고로 사진의 손의 작은 여자 손 입니다. 손잡이는 미끄러운 재질이라 보완이 필요합니다.  각 칫솔 마다 휴대할 수 있게 보호 케이스가 있는 것은 좋습니다.,3,0,0,1,2020,1,10
109,가격대비 만족해요 단단한느낌은 있어요,5,0,0,2,2020,1,10
110,저렴한 가격대에 잘샀어요  나중에 재수매 하겠습니다!!,4,0,0,2,2020,1,10
111,아직 사용 전 잘 도착했네요,4,0,0,2,2020,1,10
112,이전에 구매해서 쓰고 다 써서 또 구매했어요 남편이 잇몸이 약해 고생했는데 이 칫솔로 꾸준히잘 양치하니 괜찮아졌어요  이중슬립모가 좋아서 이번에는 이걸로 다 구매했어요 좋아요,5,1,0,2,2020,1,10
113,좋아요 미세모 굳입니다,5,0,0,1,2020,1,10
114,기대했는데 손잡이가 미끄러워서 쓸수가 없네요. 실리콘이 있지만 원가절감때문인지 정말 3mm정도로 길쭉하게만 붙어 있어서 전혀 효과 없어요. 물묻으면 손에서 치솔이 미끄러져 빠져나가요.,1,0,0,1,2020,1,10
115,깨끗히 잘닦이고 좋아요,5,0,0,7,2020,1,10
116,검색후 여러종류등을 보고 여기가 괜츈한거같아 구매했어요 근데깨끗이 안닦이네요 모도 그냥이중모로할것을 부드러운지 몰겠어요 그전워낙 미세모로 부드러운걸써서그런지..양치후에 치아사이끼여있는이물질이 그대로남아있더라는 한달한번씩바꾸고 언능써야겠네요ㅜ,4,0,0,2,2020,1,10
117,매번 사는 아이템이예여 이번엔 가족들에게 써보라고 사줬는데 다들 만족하시네요 색깔만 다양하게 넣어주시면 더 좋을것 같아요,4,0,1,7,2020,1,11
118,헤드가 작고 솔이 부드러우면서도 힘이 있네요. 어금니 바깥쪽까지 닦여서 만족합니다. 그립감도 좋아요,5,0,0,2,2020,1,11
119,가볍고 부드러워 재구매를 하는 칫솔입니다. 크기도 알맞아 치아 구석구석  잘 닦을 수 있어 좋습니다.,5,1,0,2,2020,1,11
120,또 주문 해서 잘 쓰고 있어요,5,1,0,2,2020,1,11
121,배송이 아주 빨라요,5,0,0,3,2020,1,11
122,칫솔 너무 좋은 가격에 좋은 품질로 잘샀어요 재구매 하려구요 많이 파세요:),5,0,0,1,2020,1,11
123,처음써보려고 시켰는데 칫솔모가 작긴하네요 잘닦였으면 싶네요,3,0,0,2,2020,1,11
124,지인이 추천해서 알게 되었어요~  가끔 부모님이 병원에서 구매하셔서 종종 쓴 적 있어서 품질은 믿고 구매했습니다:)  시중에 마트에서도 칫솔 정말 비싸던데 가격이 합리적이라 일단 마음에 들었어요.  그리고 제가 이빨을 좀 세게 닦아서 모가 금방 손상되거든요. 이 제품에는 단단한 버전이 따로 있어서 좋았고 부드럽지 않으면서도 모가 잇몸에 손상이 크게 안가는 것 같아요. 개별 캡도 있어서 캐리하기 쉬워요! 추천합니다  설명서 보니까 한달에 한번씩 주기적으로 바꿔주는게 박테리아 예방에도 좋다고 해서 한번 실천해볼게요 ㅎㅎ,5,0,0,3,2020,1,11
125,모가 작아서 구석구석 잘 닦여요. 미세모라 부드러워 잇몸이 약한 저한테 맞춤이예요,5,0,0,7,2020,1,11
126,매번 주문 해서 잘 쓰고 있네요,5,1,0,3,2020,1,11
127,원래 사용하던거예요.좋아요,5,0,0,2,2020,1,12
128,또 다시 구매합니다,4,0,1,3,2020,1,12
129,칫솔에 하자가 있었는데 빠르게 대처해주시고 친절히 수정보완해 주신 점 감사합니다 믿고 쓸 수 있을 듯 합니다,5,1,0,2,2020,1,12
130,딸아이가 칫솔질해보더니 처음느끼는 탄력인가봐요 너무 잘 닦인다고 신기해하네요^^ 치과에서 받은 칫솔이 좋길래 아동용 찾다가 딱 좋은 칫솔을 만났어요 앞으로 쭈욱 이용할듯하네요♡,5,0,0,2,2020,1,12
131,한 달마다 바꿔주니 좋아욤,5,0,1,1,2020,1,12
132, 배송 빠름~ 보들보들,5,1,0,2,2020,1,12
133,칫솔 좋아요 담에 재주문하려구요,5,0,0,2,2020,1,12
134,리뷰보고 주문했어요. 아직 잘은 모르겠는데 괜찮은것같아요 더 사용해보고 좋으면 재구매할께요,5,0,0,7,2020,1,12
135,치아교정을하게되어 칫솔을 치과에서 구입하다 처음으로 구입했습니다. 치과에서 판매하는 칫솔과 같네요. 저렴한 가격으로 구입하게되어 만족합니다.,5,0,0,1,2020,1,13
136,늘사용하는 칫솔 가격도 저렴하고 질도좋아요,5,1,0,3,2020,1,13
137,항상 쓰던 제품이에요. 아주좋아요,5,1,0,2,2020,1,13
138,아이치아교정을시작하게되어 칫솔을 치과에서 구입하다 인터넷 처음으로 구입했습니다. 배송도 빠르고 좋네요. 저렴한 가격으로 구입하게되어 만족합니다.,5,0,0,1,2020,1,13
139,아이치아교정을시작하게되어 칫솔을 치과에서 구입하다 인터넷 처음으로 구입했습니다. 배송도 빠르고 좋네요. 저렴한 가격으로 구입하게되어 만족합니다.,5,0,0,2,2020,1,13
140,남편과 둘이 쓰고 있는데 미세모에 헤드도 작아 어금니쪽 닦기에 편해서 좋아요!!!,5,0,0,2,2020,1,13
141,일반모 써봣는데 좋은거같아요 ㅎㅎ,5,0,0,0,2020,1,13
142,배송은 아주 빨리왔어요.처음사용해보는거라 미세모랑 이중미세모 반반 주문했는데 실제 사용해보고 포토리뷰도 남길게요~~,5,0,0,7,2020,1,14
143,정말 강력추천합니다,5,0,0,2,2020,1,14
144,처음구매했는데 좋을거같아요,5,0,0,2,2020,1,14
145,배송빨라요 써볼게요,3,0,0,6,2020,1,14
146,교정중인데 부드럽고 만족해요,5,0,0,1,2020,1,14
147,저렴하게 좋은칫솔 잘 샀어요!,5,0,0,2,2020,1,14
148,아직 안 써봐서 모르겠어요 ~배송은 빠릅니다.ㅎ ㅎㅎㅎ 배송이 빨라서 좋아욧! 번창하세요~! 대용량이라 부모님 하고 나눠씁니다. ㅎ,3,0,0,2,2020,1,14
149,만족해요 잘산것같아요,4,0,1,3,2020,1,14
150,배송이 무지 빨라요~  주기적으로 갈아줘아해서 미리 쟁여놓고 써요~,5,0,0,2,2020,1,14
151,아직 안 써봐서 모르겠어요 ~배송은 빠릅니다.ㅎ ㅎㅎㅎ 배송이 빨라서 좋아욧! 번창하세요~! 대용량이라 부모님 하고 나눠씁니다. ㅎ,5,0,0,2,2020,1,14
152,저렴하고 배송빨라요~~ 그런데 슬림버전 칫솔모가 원래 새것도 이렇게 끝이 지저분한가요?ㅠㅠ  슬림버전이라 힘이 없긴 하겠지만 모 상태가 잘 닦이려나 의문이 들어요 ㅠㅠ,3,0,0,6,2020,1,14
153,저렴한 가격에 빠른 배송 정말 좋아요,5,0,0,1,2020,1,14
154,만족합니다 추천드려요,5,1,0,2,2020,1,15
155,배송빠르고 치과에서 구매해서썻엇는데 앞으로 떨어지면 또 주문해서 사용해야겟어요~~ 포장도 꼼꼼히잘되어잇고 좋아요 ㅎㅎ,5,0,0,4,2020,1,15
156,교정 중이라 교정칫솔만 쓰는데 치과에서 사려니까 너무 비쌌는데 이렇게 싸게 사니까 좋으네요!!! 교정기 사이사이 잘 닦여요!!,5,0,0,6,2020,1,15
157,했어요 좋은거같아요,5,1,0,2,2020,1,15
158,교정시작하면서 대량으로 구매했어요,5,0,0,1,2020,1,15
159,배송도 상품도 만족합니다 ㅎㅎ,5,0,0,4,2020,1,15
160,부드럽게 잘닦여서 좋습니다,5,0,0,1,2020,1,15
161,늘 사용하던 칫솔 재구매해서 또 사용합니다,5,0,0,2,2020,1,15
162,아직 안써봤는데 만져보니 모는 강한느낌이네요 또 써보고 후기남길거교,4,0,0,2,2020,1,15
163,잘쓰고 있어요 초6올라가는 아들램 칫솔오 사용중이에요 ~ 젤좋은건 각각 포장되있는거랑  보관이 용이하게 케이스가 끼워있다는점 아주 칭찬합니다 ~~,3,0,1,2,2020,1,15
164,계속 재구매해서 사용합니다. 저희가족에게 딱 맞는 칫솔,5,1,0,2,2020,1,15
165,좋아요! 써본칫솔중에 잘 닦이고 캡도 있어서 휴대하기 좋아요,5,0,0,2,2020,1,15
166,잘 닦이는 것 같아 좋아요 근데 슬림모는 그림이 평평하길래 미세모가 아닐 줄 알았는데 다 미세모였네요 ㅠㅠ 미세모 없는 걸 찾고 있었는데 그 점이 아쉽습니다,4,0,0,7,2020,1,15
167,ㅁ박자마자써봄 근데 솔빠짐.. 입에서 굴러다님 ..놀람 ㅠㅠㅠ..안살거임 ㅠ,1,0,0,7,2020,1,16
168,"이때까지 일반모 썼는데,  미세모가 훨씬 잘 닦이고 좋습니다.  빠른배송도 맘에 듭니다^^",5,0,0,1,2020,1,16
169,하는데 사용감도 괜찮고 저렴하게 자주 교체해서 사용할 수 있어서 만족합니다,5,1,0,2,2020,1,16
170,항상 쓰던거에요 잘쓸게요 ㅋㅋㅋ 여기 제품이 좋은거같아요^^,5,0,0,1,2020,1,16
171,아주마음에들어요감사해요,5,1,0,2,2020,1,16
172,벌써 세번째 구매에요!! 교정하는 동안 잘 쓰고 있습니다^^,5,0,0,1,2020,1,16
173,별점 1개도 아깝네요 이름만 치과칫솔이고 기능은 전혀 치과칫솔이 아니네요 치과에서 받은 교정칫솔과 비교가 안됩니다 부드러운 모 일반모 샀는데 일반모는 진짜 심하게 딱딱하네요; 잇몸 헐어서 한번쓰고 사용중지 했어요 부드러운 모는 일반모 보다는 낫지만 잇몸에 부드럽지 않아요 그냥 돈 날렷네요 칫솔은 버리는수밖에 없네요 에휴 다시는 구매 안합니다,1,0,0,6,2020,1,16
174,온가족이 모두 이것만 사용하고 있습니다 너무 좋습니다~~^^,5,0,1,2,2020,1,16
175,항상쓰는제품이에요 매우만족!!!!,5,0,0,2,2020,1,16
176,아주 깨끗하게 잘 닦이네요,5,0,0,7,2020,1,16
177,둔해서조은지어떤지모로것,5,0,0,1,2020,1,16
178,교정중인데 모가 부드러워요,5,0,0,6,2020,1,16
