,내용,날짜,별점,재구매,한달사용기,종류
10,배송은 ㅋㅍ로켓 급으로 빠르고 3년 넘게 써오던 칫솔이라 늘 믿고 주문합니다. 저 치과의사도 극찬한 건치인데 칫솔은 최대 40일에 1번씩 교체하시고 치실 꼭 하신후 양치 하세요. 스케일링은 1년에 한 번 하셔야 하고요. 이렇게만 하시면 님들도 건치될 수 있어요.,22.04.13.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
11,"첫 구매입니다. 
일단 사용해 보아야
정확히 설명할 수 있지 싶은데

미세한 먼지가 솔 사이에 끼어있고
솔이 삐져나온 것들이 눈에 보여
우선 별하나 뺐습니다.

사용해보고 다시 후기 올려볼께요~",22.04.13.,4,0,0,1. 칫솔 종류: S&G 어금니칫솔 (★칫솔모양주의) / 2. 칫솔 선택: 10.어금니칫솔 앤드터프트 12개 1박스
12,"괜치 치과 칫솔이 아닌가 봅니다.
칫솔 헤드 크기는 너무 크지도 작지도 않아 좋네요.
칫솔모 탄성도 적당합니다. 디자인, 색상이 의외로
고급집니다. 특히 그립감이 굉장히 좋네요.
양치 후 개운함이 남다르네요. 
전체적으로 아주 만족스럽습니다.👍👍👍",22.03.22.,5,0,0,1. 칫솔 종류: S&G 고급(Premium)칫솔 / 2. 칫솔 선택: ♥ 고급슬림모 6개 + 고급이중슬림모 6개
13,한달사용기잘쓰고 있습니다. 제일 좋은건 보통의 칫솔은 이 닦은 후 칫솔모에 치약 찌꺼기가 남아 제거가 힘든데 이 치솔은 찌꺼기가 잘 안남네요,22.05.03.,3,0,한달사용기,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: ♥ 슬림모 6개 + 이중슬림모 6개
14,"예전에 썼던거랑 생김새가 비슷해서 샀는데 칫솔모는 그냥 보통인거 같습니다. 예전께 더 개운하고 잘 닦였었음.  일단 제일 안좋았던건 손잡이가  밑면은 평평한데 위쩍은 동그래서(반달형) 칫솔질 할때 치약이 좀 흘러내리면 너무 불편함. 막 돌아가서 내가 원하는 방향으로 칫솔질 하기 힘듬. 10개가 한세트라서 더 열받음
. 손잡이 모양만 안둥그랬어도 별 3~4개는 줬을듯..
   그냥 평평하게 만들었음 좋았을걸   모양낸다고 둥그렇게 만드는 칫솔 정말 별로임. 예전 다른 칫솔도 그랬었는데.. 너무 아쉽네요",22.04.09.,1,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
15,"재구매온가족이 늘 사용하는 칫솔입니다
예전보다 가격은 조금 올랐지만 배송도 빠르고 잇몸에 자극적이지 않은 칫솔이라 꾸준이 애용중입니다",22.05.05.,5,재구매,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
16,"치과에서 처음 구매한 이후로 칫솔은 이거만 씁니다. 칫솔이 억세지 않고 치아에 부담도 덜 가는것같아요.
게다가 칫솔 보호캡도 칫솔마다 함께 포장되어있어 위생적인 느낌을 주고, 휴대할때 요긴하게 쓰여 만족합니다.
다음에도 구매하겠습니다~",22.04.14.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 01.슬림모(일반) 12개 1박스
17,"배송빠르네요
워낙쓰던제품이라믿고 구매했어요 
사은품도 감사합니다",22.05.06.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: ♥ 슬림모 6개 + 이중슬림모 6개
18,아주 만족스러워요!! 칫솔모는 일자인게 가장 잘 닦이는데 일반마트에서는 칫솔모가 너무 크거나 굴곡진게 대부분이어서 원하는 걸 못찾았는데 앞으론 여기 칫솔을 사야겠어요,22.04.26.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
19,항상 쓰는 칫솔입니다. 이번엔 치간칫솔과 치실도 같이 샀어요. 케이스가 있어서 휴대하기 좋아요,22.05.03.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
20,교정시작하고 치과에서 줬던 교정칫솔쓰다가 더 필요해서 구입했습니다. 치과에서 줬던 칫솔과 같고 칫솔모 부드러워요,22.05.03.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
21,"한달사용기항상 이것만사용해요
부드럽고 상괘한느낌을주네요",22.05.02.,5,0,한달사용기,1. 칫솔 종류: S&G 고급(Premium)칫솔 / 2. 칫솔 선택: ♥ 고급슬림모 6개 + 고급이중슬림모 6개
22,처음 사용하는 칫솔인데 괜찮은것 같습니다. 첫 구매라 일반모 인기상품으로 구매했는데 많이 하는 이유가 있네요. 잘닦이고 개별 포장으로 되어있어서 편하고 칫솔 헤드부분 플라스틱 뚜껑도ㅠ있어서 가지고 다니기 편합니다. 만족합니다.,22.04.15.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
23,"재구매3번째 재구매에요ㅎㅎ 물건을 잘 바꾸는 타입인데, 정착한 제품은 처음이에요. 가끔 타사 낱개 칫솔 사서 기분전환(?)해보곤 했지만 제 잇몸과 치아타입에는 이 제품만한게 업서요,, 최고👍",22.04.25.,5,재구매,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: ♥ 슬림모 6개 + 이중슬림모 6개
24,부드립고 좋을것 같아요 아직 사용전이지만  각이 넘 예쁘네요~~,22.05.07.,4,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
25,"해당 칫솔로 바꾸고나서부터는 이 칫솔만 쓰게되네요:)
다른 칫솔 안써요..못써요..
색깔별로 골라쓰는 소소한 재미도있고
쟁겨놨던거 다 써서 재구매합니다!!",22.04.27.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
26,미세모만 구입하다 일반 강한모가 더 오래 사용할 것으로 알고 구입했는데 좋지가 않네요 칫솔모들이 금방 휘어집니다. 마치 중국산 싸구려 제품처럼.... 앞으로 미세모만 사야겠네요,22.04.26.,2,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 0A.치과일반모(강한모) 12개 1박스
27,"한달사용기치과에서 준 교정칫솔이 망가져서 새로 구매하게 됐는데,
미세모가 치과에서 준 칫솔하고 똑같은 느낌이어서 잘 사용했습니다.

일반모는 저한테 좀 강하게 느껴져서 미세모가 더 잘맞았습니다",22.04.26.,5,0,한달사용기,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
28,가운데가 파여있어서 교정기 부분도 편하게 닦을 수 있어서 좋아요 한달에 한번씩 칫솔 바꿔야한다는데 딱 12개라 교정 끝낼때까지 쓸 수 있을 것 같아요,22.04.28.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
29,교정하고 있는데..매번 치과가서 사기 힘들었는데..한꺼번에 사니 편한것같아요..,22.05.04.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
30,"재구매항상 여기서 구매해 사용합니다
가격.품질.배송. 모두 좋습니다",22.05.06.,5,재구매,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 0A.치과일반모(강한모) 12개 1박스
31,"칫솔 모가 튼튼해서 좋네여.
부드러운 치과교정용만 써봤는데 반반이라 활용성도 좋고 치아에 맞는거 고를수 있네요. 다만 뭐가 교정 일반인지 뭐가 슬림모인지 겉으로는 구분 불가능.. 개별 색상은 랜덤이던 상관없는데 초록 상자인지 빨간상자인지ㅜ겉으로는 모르겟어여",22.04.11.,4,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
32,아이 교정칫솔로 샀어요~양이많아서 한동안 잊고지낼듯.,22.05.05.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
33,한달사용기재구매교정칫솔 사면서 가족꺼 다같이 구입해서 매달 교체하며 사용하니 좋아요,22.05.07.,5,재구매,한달사용기,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 03.어린이곰돌이 12개 1박스
34,"교정시작한지 얼마 안되었는데
제가 찾던 교정 칫솔이네요
치과에서 줬던거랑 이게 젤 비슷해요
써본중에 제일난것 같아요~",22.04.27.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
35,"재구매어금니칫솔 주문하면서
일반칫솔도 추가로 주문했어요~~

저는 오른쪽은 사랑니가 제대로 나서 
발치를 전혀 안해서 
잘 닦으려면 어금니칫솔이 꼭 필요해요!

그리고 그러면 안되는데 이를 좀 세게 닦는 편이라
칫솔은 2~3주에 1번 교체하는거 같아요!!

교정치과에서 처음 사용한 S&G 칫솔과 
어금니 칫솔은 진짜 이제는 없으면 안되요!!

물론 이닦기전 치실은 필수죠ㅋㅋ",22.04.13.,5,재구매,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
36,"재구매어금니칫솔 주문하면서
일반칫솔도 추가로 주문했어요~~

저는 오른쪽은 사랑니가 제대로 나서 
발치를 전혀 안해서 
잘 닦으려면 어금니칫솔이 꼭 필요해요!

그리고 그러면 안되는데 이를 좀 세게 닦는 편이라
칫솔은 2~3주에 1번 교체하는거 같아요!!

교정치과에서 처음 사용한 S&G 칫솔과 
어금니 칫솔은 진짜 이제는 없으면 안되요!!

물론 이닦기전 치실은 필수죠ㅋㅋ",22.04.13.,5,재구매,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
37,재구매일반미세모는 아들이 손잡이가 가끔 부러진다고해서 고급미세모와 함께 구매했어요,22.05.05.,5,재구매,0,1. 칫솔 종류: S&G 고급(Premium)칫솔 / 2. 칫솔 선택: 06.고급이중슬림모 12개 1박스
38,"아직 사용 안해봤어요.
써보고 좋으면 다시 구매할껍니다.",22.05.04.,4,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 08.교정V 일반모(강한모) 12개 1박스
39,아직 써보진 않았는데 칫솔모도 탄탄부들거려 좋을 것 같아요,22.05.01.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
40,칫솔 모 튼튼하고 좋아요 배송도 적당하게 왔고 괜찮게 산 것 같아요,22.05.03.,4,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
41,사용후기.좋아 재구매여~ 삐른배송 감사,22.04.29.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: ♥ 슬림모 6개 + 이중슬림모 6개
42,"BEST앞으로 1년은 더 교정해야해서😁 인터넷으로 사면 더 저렴하기에 구매했습니다. 
제가 다니는 치과에서 판매하는 것과 동일한 제품이고 부드러운모와 일반모를 반씩 구매해보았는데 둘 다 좋아요! 
일반모는 단단하여 교정기 사이의 음식물을 더 깨끗이 없애줄 것 같고, 그렇다고 잇몸이 아플정도로 단단하진 않습니다. 다만 교정중에는 이가 움직이며 잇몸이 예민해질 때가 있는데 그때 부드러운모를 쓰면 좋을 것 같습니다. 일반모에 비해 확실히 부드럽고, 그러면서도 흐물거리는정도는 아니라 양치가 잘 되요.
다음에 다시 구매한다면 일반모위주로 구매하고 가끔 잇몸이 안좋을때를 대비해서  부드러운모는 소량 구매하고싶습니다.",22.03.31.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
43,배송 빠르고 제품도 잘 왔어요 여기 건 처음이지만 몇년째 치과칫솔 쓰고 있어요 잇몸이 약해서 딱이예요,22.04.26.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
44,재구매벌써 몇번째 구매인지 모르겠네요~ 딸아이가 교정중인데 항상 이제품만 사용하고 있어요,22.04.28.,5,재구매,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
45,가족 모두 잘 사용 하고 있습니다. 감사합니다.,22.05.04.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: ♥ 슬림모 6개 + 이중슬림모 6개
46,"재구매교정중이라 교정용 구입했어요 
일반용 꾸준히 잘 쓰고 있어 교정용도 믿고 구매해봤어요 치간칫솔 사은품도 주셨네요",22.04.26.,5,재구매,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
47,치과전용 칫솔 구매해서 사용하다 다 떨어져서 인터넷으로 시켰는데 배송도 빠르고 가격도 좋네요 ㅎㅎ,22.05.02.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
48,"배송이 빨라서 좋아요!!
가격도 저렴하고 칫솔도 좋아요👍👍",22.05.06.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
49,"칫솔 써보니까 너무 좋네요 
여태껏 사용한 치과전용 칫솔보다 더 좋아요",22.05.06.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 0A.치과일반모(강한모) 12개 1박스
50,"저희 가족은 재구매해서 쓰고 있어요
딸아들은 교정용 칫솔 남은 세가족은 일반으로
깨끗하게 잘 닦이고 너무 좋아요",22.05.01.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 01.슬림모(일반) 12개 1박스
51,"한달사용기칫솔모가 좀컸으면 좋겠어요.
칫솔모는 힘이좀있어요.",22.05.05.,4,0,한달사용기,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: ♥ 슬림모 6개 + 이중슬림모 6개
52,어른꺼만 써보고 아이꺼는 처음으로 구입해보는건대 좋으면 계속 쓸 예정,22.05.03.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 03.어린이곰돌이 12개 1박스
53,미세모라 그런지 아주 부드럽고 좋아요 교정하는 동안 이 칫솔에 정착예정!,22.05.03.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
54,모 크기도 적당하고 부드러워서 자극없어요~~ 쓰기 편하고 좋네요 칫솔마다 뚜껑도 있어서 휴대하기도 간편해요! 싼 가격에 잘산거같아요 교정기간동안 잘쓰겠습니다 ^^,22.04.06.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
55,"재구매배송도 빠르고 늘쓰던거라 좋아요
여러번 산거같은데 언제 쿠폰따로 주나요?",22.05.04.,4,재구매,0,0
56,"한달사용기재구매주변에도 많이 추천했는데
다들 만족해합니다.",22.05.07.,5,재구매,한달사용기,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
57,"한달사용기칫솔모가 빨리
상하는거같아요 단단한 모는 아니예요",22.05.06.,5,0,한달사용기,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
58,"칫솔 머리부분이 작아 구석구석 깨끗하게 닦이는것같아 계속해서 이 칫솔만 쓰게되네요
배송도 빠르고 다 쓰면 또 구입하러 올께요",22.04.27.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: ♥ 슬림모 6개 + 이중슬림모 6개
59,"재구매어금니 칫솔 한번도 안써봤는데 
이제부터 써보려구요!",22.05.06.,5,재구매,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
60,교정하는 아이 한달에 한번씩 칫솔 교체 해주려고 구입했어요,22.04.13.,5,0,0,1. 칫솔 종류: S&G 고급(Premium)칫솔 / 2. 칫솔 선택: 06.고급이중슬림모 12개 1박스
61,디자인은 깔끔하니 시중에서.판매하는것보다 마음에 듭니다~,22.04.13.,4,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
62,"잘받았습니다 저번에 슬림 이중 반반샀는데
이중슬림모가 맞드라구요 그래서 이번엔 이중으로
완전만족합니다",22.04.24.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
63,재구매했어요~아이들이 잘쓰고있어요^^,22.05.04.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 02.이중슬림모(일반) 12개 1박스
64,한번 신랑이 치과에서 치솔을 가져와서 써봤는데 넘좋아서 구입했네요.신랑이 잇몸이 안좋은데 좋아하네요.만족합니다.,22.04.23.,5,0,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 01.슬림모(일반) 12개 1박스
65,어금니 칫솔 선물받고 좋다고 하셔서 사드렸더니 좋아하세요,22.05.03.,5,0,0,1. 칫솔 종류: S&G 어금니칫솔 (★칫솔모양주의) / 2. 칫솔 선택: 10.어금니칫솔 앤드터프트 12개 1박스
66,한달사용기재구매아이용 함께 사서 사용해서 좋네요,22.05.07.,5,재구매,한달사용기,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: 07.교정V 슬림모 12개 1박스
67,교덩 시작했는데 치과에서 준 교정칫솔은 쓰고 나면 잇몸서 피가 날 정도로 넘 쎄서 여기꺼 사봤는데 좋아요~,22.04.26.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
68,"재구매칫솔은 무조건  코코세일이예요
소개 받아서 첫 구매하고 좋아서 사용한지 어느덧 일년은 된 거 같아요
교정칫솔 애기칫솔 일반칫솔 미세모칫솔 다양하게 써보지만 진짜 짱!!
교정하고 있는데 치석이 많이 안생겨서 스켈링도 안해도 될 정도예요
칫솔 유목민 30년 지금은 정착했습니다!!!",22.03.26.,5,재구매,0,1. 칫솔 종류: S&G 치과칫솔(일반) / 2. 칫솔 선택: 0A.치과일반모(강한모) 12개 1박스
69,"구매확정을 빨리 못해서 죄송해요 ㅜ
배송이 엄청 빨리왔고 상품 상태도 다 좋아요 :)",22.04.25.,5,0,0,1. 칫솔 종류: S&G 교정용 V 칫솔 / 2. 칫솔 선택: ♥ 교정V 슬림모 6개 + 교정V 일반모 6개
70,"잇몸이 많이내려가서 치아는
튼튼하지만 잇몸관리하라는 말을 치과에서 들었어요ㅠㅠ 기존 이중슬림모 사용하고있었는데 고급슬림모가 어린이칫솔다음으로 부드러워 사봣는데 나름 괜찮은것같아요. 엄청 초극세모많은느낌은아니지만 살살 닦으면서 사용해보려구오",22.04.10.,5,0,0,1. 칫솔 종류: S&G 고급(Premium)칫솔 / 2. 칫솔 선택: 05.고급 슬림모 12개 1박스
