,내용,날짜
220,좋아요. 애터미 치약만 사용해요,22.04.20.
221,좋아요 늘 쓰던거라 구매해요~,22.04.20.
222,유통기한도 길고 좋네요ㅎㅎ,22.04.20.
223,남편 아침식사 입니다ᆢ,22.04.20.
224,무난하게 좋아요 부모님이 암웨이 치약 좋아하셔서 대량구매했어요,22.04.20.
225,배송도빠르고저렴해요,22.04.20.
226,안텁텁하고 개운해요,22.04.20.
227,가격대비 좋은 제품입니다 꾸준히 사용하고 있습니다,22.04.20.
228,시원하고 좋아요 애터미 치약 자주 이용할 것같아요,22.04.20.
229,배송 빠르네요..가격도 저렴합니다.,22.04.20.
230,배송빨라요 빨라요 팔라요 빨라요,22.04.20.
231,애터미 치약 지인추천으로 사게 됐어요 청량감 좋네요,22.04.19.
232,맵지 않아서 좋아요 달달하면서 시원합니당,22.04.19.
233,항상쑤던거 여기가 젤 저렴합니다 조아요,22.04.19.
234,맛도 향도 만족함 입이 개운해서 좋아요,22.04.19.
235,항상 애용하는 제품입니다 좋아요,22.04.19.
236,애터미치약은 진리입니다,22.04.19.
237,gsndjfkfbdkmen,22.04.19.
238,늘 쓰는 제품여서 믿고 구매합니다,22.04.18.
239,"꾸준히 잘 쓰고 있습니다
좋아요~",22.04.18.
240,치약은 항상이것만 써요잘쓸께요,22.04.18.
241,항상잘쓰고있어요 아주조아요,22.04.18.
242,좋아요 자주이용중이에요,22.04.18.
243,처음써밨는댕 좋아용,22.04.18.
244,항상 사용하는거에요,22.04.18.
245,상쾌하니 좋습니다!!,22.04.18.
246,항상 쓰는 치약~~~,22.04.18.
247,좋아요계속 이치약만 사용할것같아요!,22.04.18.
248,늘쓰던거에요.늼 좋습니당♡♡,22.04.18.
249,늘 이 것 만 써 요,22.04.18.
250,애터미치약 사용할때 거품도 알맞게 나고 사용후 입안이 전체적으로 시원한 느낌이 나서 좋네요,22.04.17.
251,"잇몸이 약해서 항상쓰는 제품입니다
이가 덜시려워요",22.04.17.
252,맵지 않고 상쾌해서 아이들도 쓰기 좋습니다.,22.04.17.
253,늘 사용하는거라 거부감없이 잘씁니다.,22.04.17.
254,느낌이나서 좋고 향도 좋아요,22.04.17.
255,아직 초반이라 잘 모르겟어요,22.04.17.
256,상쾌한 향이 좋아요,22.04.17.
257,이시림 때문에 사용하기 시작해서 몇년째 사용중이니다 항상 만족합니다 많이파세요,22.04.17.
258,좋다고해서사용해볼려고요... 사용해보고좋으면신청의사있어요,22.04.17.
259,다쓰고 재구입ㅋㅋㅋ,22.04.17.
260,"일찍 주문했더니
빠르게 배송됐습니다.

과거에 사용해소고 좋아서 구매해봤어요",22.04.16.
261,"양치질후 개운하고 애터미치약을쓴후로는
스켈링을 거의 받지않고있습니다",22.04.16.
262,입 속 잔여감 없이 닦이고 가격도 착해서 완전만족,22.04.16.
263,예전에 쓰고 괜찮아서 주문하게 됐어요,22.04.16.
264,다 떨어져서 칫솔이랑 같이 샀어요~,22.04.16.
265,맵지않고 텁텁하지 않고 아이들 까지 함께 쓸 수 있어 항상 사용 하는 치약이에요,22.04.16.
266,화한 느낌은 덜하지만 개운해요,22.04.16.
267,순하고 좋아요 계속 쓰는 제품,22.04.16.
268,좋아요~~~~~~~~👍👍👍👍,22.04.16.
269,초딩 아이와 같이 온가족이 사용해요..불소함량이 유아치약보다 낮아요...아이도 처음엔 맵다더니 이제 잘쓰네요...,22.04.15.
270,"항상쓰는 치약이예요
다쓰면 재구매예정입니다~~~^^",22.04.15.
271,"센소다인만 몇년쓰다 이번에 바꿔봤는데

개운하고 좋아요 입안이 껌씹는거같아요",22.04.15.
272,아직 안써봤는데 좋다고 하니 잘 써보겠습니다,22.04.15.
273,배송도 빠르고 저렴한가격에 잘 구매했습니다~,22.04.15.
274,너무 좋죠..매번 주문해서 잘 쓰고 있어요,22.04.15.
275,항상 쓰고있는 제품입니다. 향이좋아요~ 닦이는건 잘 모르겠어요 만족합니다,22.04.15.
276,강하지않아서계속사용하게되는치약,22.04.15.
277,세번째 구매인데 잘쓰고 있어요.,22.04.15.
278,써보니 좋아요. 만족입니다,22.04.15.
279,치약좋아요.믿고구입해요,22.04.15.
280,싸고 좋아요 항상써오,22.04.15.
281,치약도 맘에 들고 튜브도 절약형이라 맘에 듬니다,22.04.15.
282,"잘 사용 중입니다
항상 사용하는 제품 좋아요",22.04.15.
283,"애터미치약 사용감도 좋고 애터미믿고 사용합니다, 잘쓰겠습니다",22.04.15.
284,치키치키차카차카초코초코초,22.04.15.
285,"좋아요
좋아요",22.04.15.
286,늘 사용하던것으로 양치후에도 입안에서 상쾌한 느낌이 있고 개운해서 치약중에는 제일 괜찮은것 같아요. 비싼 마비스보다 더 좋은 듯.,22.04.14.
287,상품평들이 괜찮다고해서 구매일단써봐야 알겠습니다,22.04.14.
288,"안 맵고, 향도 강하지 않아서 잘 써오던 치약입니다:)",22.04.14.
289,향기가 좋아요. ㄱ계속 구매하는 제품입니다.,22.04.14.
290,잘 닦이고 괜찮아서 몇년째 쓰고 있어요~,22.04.14.
291,오렌지?향이나는 산뜻한치약입니다,22.04.14.
292,깔끔하고 좋네요! 계속 쓸거 같아요,22.04.14.
293,"잘사용하고있어요
애터미만 씁니다",22.04.14.
294,잘사용하고 있어요 감사합니다,22.04.14.
295,애터미 치약플러스 참 좋아요.,22.04.14.
296,몇년째 사용하는제품입니다,22.04.14.
297,리뷰가 많아 구입해봤어요,22.04.14.
298,꾸준히 사용한제품 좋아요,22.04.14.
299,이거쓰면 다른치약 못써요,22.04.14.
300,매번쓰는제품이랍니당,22.04.14.
301,항상 쓰는건데 좋네요~,22.04.14.
302,배송빠르고 만족 추천,22.04.14.
303,유효기간이 길어서 굿,22.04.14.
304,한번 써보고 다른 치약은 못씀...ㅋㅋㅋ,22.04.14.
305,자극적인 향도 아니고 온 가족이 이 치약 사용 중이에요 ㅎㅎ 상쾌하고 좋아요,22.04.13.
306,"예민한 딸아이가 써보고 싶다고해서,구매합니다.맘에 들어했으면,좋겠네요.",22.04.13.
307,애터미제품사용한것중에서가장맘에들어요개운하고잇몸에효과도있구요,22.04.13.
308,"계속 쓰다가 다른 제품으로 잠시 바꿨는데 시린이에는 이 치약이 최고로 잘 맞는것 같아요
이제는 다른 치약은 사용못할것 같아요
가성비 최고에요 양도 많구요~^^",22.04.13.
309,저희 집이 애터미 치약만 쓰는데 너무 저렴해서 바로 구매 했습니다 배송도 빠르고 너무 좋네요!,22.04.13.
310,사용감도 좋고 유통기한도 넉넉하고 상태도 아주 좋아요!,22.04.13.
311,"항상 쓰는 치약이예요
배송도 빠르고 좋았어요",22.04.13.
312,치약찾던중애터미평가가좋아서구매했어요쓰보고괜찮아면계속구매할께요,22.04.13.
313,애터미 치약만 몇년째 사용중예요.다른 제품 사용하다가 결국은 애터미로 돌아오게되요.입안 깔끔하고 개운해서 좋아요.,22.04.13.
314,애터미치약이 정말 좋은거 같아요 입냄새도 안나게 하고 자극적이지 않고 좋아요,22.04.13.
315,계속 애터미 치약만 사용할것 같아요,22.04.13.
316,마음에 들어서 재구매 예정입니다.,22.04.13.
317,계속 쓰던애터미치약 또잘쓸께요,22.04.13.
318,계속 사용중입니다. 아주 좋아요,22.04.13.
319,넘 좋아요 몇년째 쓰고 있네요,22.04.13.
320,구취제거에 효과적입니다~^^,22.04.13.
321,꾸준히 쓰는 치약 괜찮아요,22.04.13.
322,잘쓰고 있어요 부드러워요,22.04.13.
323,"좋아요
잘 쓸께요 착한가격",22.04.13.
324,상쾌하고깨끗한것같아요,22.04.13.
325,배송이 매우 빨라요,22.04.13.
326,좋아요!!!! 대용량,22.04.13.
327,저렴하게 잘 구매했습니다. 구매평보고 믿고 샀어요,22.04.13.
328,애터미 치약 믿고 쓰는 제품입니다.만족합니다.,22.04.13.
329,쓰던 치약인데 치약만 살 수 있어 좋아요,22.04.13.
330,저희 부모님이 이거 쓰시고 잇몸에 피가 안난다고 하셔서요 좋은 것 같아요 저도 꾸준히 쓰려구요 ㅎㅎ 잘 쓸게요~,22.04.12.
331,좋다고 해서 구매 했는데 기대만큼 좋은 제품이였음 좋겠습니다,22.04.12.
332,계속해서 이 제품만 사용하고 있습니다자극 없고시원하고냄새도 나쁘지 않아요예민한 저에게는 딱 좋습니다추가 구매할 예정입니다,22.04.12.
333,배송 빠르고 상품 잘 사용 하고 있습니다.,22.04.12.
334,치약.칫솔은 애터미만 쓴답니다,22.04.12.
335,늘 쓰던건데 싸게 잘 샀어요,22.04.12.
336,처음 사용하는데 괜찬네요,22.04.12.
337,배송이 마니 느리네요,22.04.12.
338,양도 많고 개운해요^^,22.04.12.
339,치약중에 애터미치약이 제일 맛있는 것 같아요 :),22.04.12.
340,"특히 빠른 배송과 정확한 상품전달에 아주 만족하고,제품에 대한 신뢰로 계속 구매해서 사용하고 있는 제품입니다.",22.04.12.
341,빨은배송 감사합니다,22.04.12.
342,"달달해요.
썼던 제품이라 믿고 구입했어요.
부드럽게 잘 닦여요",22.04.11.
343,주변에서 좋다고 해서 구입 했는데 써보니까 좋아요,22.04.11.
344,잘받았습니다 늘 쓰던거라 세일할때 쟁여놓네요,22.04.11.
345,가격 착하고 청량감 좋아서 3년째 사용중입니다,22.04.11.
346,워낙유명해서 사봤는데 잘모르겠네요,22.04.11.
347,거품이 잘나고 아이도 같이 잘 써요,22.04.11.
348,배송빠르고 안전한포장 맘에들어요,22.04.11.
349,잘사용하고있습니다 수고하세요,22.04.11.
350,당분간 치약 살일은 없겠네요.,22.04.11.
351,잘 쓸게용!!! 한상 쓰던거!!,22.04.11.
352,잘 도착했어요 좋아요!ㅎㅎ,22.04.11.
353,믿고 쓰는 애터미입니다,22.04.11.
354,초등아이도ㅜㅜ잘써요^^,22.04.11.
355,좋네요 잘쓰고있습니다,22.04.11.
356,"배송 빠르게 잘받았습니다
잘쓰겠습니다",22.04.11.
357,궇,22.04.11.
358,애터미 치약도 너무 유명하고 좋지요 자극적이지않아 좋습니다.,22.04.10.
359,애터미 제품이 좋은건 모두 알고있죠 역시 개운하고 좋아요,22.04.10.
360,깔끔하고 질 좋은 제품~ 빠른 배송! 항상 믿고 사용합니다,22.04.10.
361,저희 애들이 좋아해서 이 제품만 써요 감사합니다,22.04.10.
362,"배송도 빠르고 제품포장도 굳입니다
번창하세요.",22.04.10.
363,자주쓰는 치약이고 깔끔하니 좋은거같아요,22.04.10.
364,항상 애터미.치약만.써여 좋아요 ㅎㅎ,22.04.10.
365,"안 매워서 순하고,
잘 닦이고 좋아요.",22.04.10.
366,애터미 치약은 가성비가 좋아요,22.04.10.
367,항상 사몽중인 제품이예요,22.04.10.
368,향도좋고 깔끔합니다.,22.04.10.
369,배송이 빠르고 좋아용,22.04.10.
370,처음 구매후 아주 괜찮아서 재구매해서 사용합나다,22.04.10.
371,항상 사용하고 있어요 시원한 느낌이고 뽀득하게 잘 닦여요,22.04.09.
372,너무 화하지도 않으면서 개운한 치약 입니다 강추드림,22.04.09.
373,늘 쓰고 있어요. 입안이 깔끔해져서 좋아요.,22.04.09.
374,"이젠 습관이돼서 딴거 살 생각을
못합니다^^ㅎ",22.04.09.
375,찾아요.이거만 ㅋ그래서 늘 이걸 주문해요...,22.04.09.
376,좋아요. 급히 주문했는데 빠른배송 굿,22.04.09.
377,애터미 좋아요 자주 애용합니다,22.04.09.
378,"항상 쓰던제품이에요~
아이들과 같이써도 너무좋은 아이템입니다ㅎㅎ",22.04.09.
