,내용,날짜
77,빠른배송 고마워요 수고하세요,22.04.16.
78,너무 만족해요. ㄱㄴㄷ,22.04.16.
79,계속 쓰고 있네요..가격대비 좋아요...1년 쓰겠네요,22.04.16.
80,"15일 오후 받았습니다.
배송이 좀 늦은듯 합니다.",22.04.16.
81,좋아요 좋아요 좋아요 ㅎㅎ,22.04.16.
82,죽염치약이 좋아서 이것만 쓰고있어요~~,22.04.15.
83,가성비가 좋아요 재구매 할께요~,22.04.15.
84,양치시 시원하고 상쾌하네요,22.04.15.
85,잔뜩 쟁여놓고 쓰는중입니다 치약중에 저렴하고 향도 좋고 넘 좋아요,22.04.14.
86,원래는160그램쓰고있어요~130그램은처음인데 싸이즈 생각보다많이 나네요~_그래도 저렴한 맛에 사용합니다,22.04.14.
87,대용량을 아주 가성비좋게 잘샀어요~ 잘쓰고있습니다~ㅎㅎ,22.04.14.
88,늘 쓰는 치약입니다. 잘 쓰고 있어요.^^,22.04.14.
89,양치하고 나면 엄청 개운해요,22.04.14.
90,싸게 잘 샀어요~ 배송 빨라요,22.04.14.
91,깔끔하고 좋습니다 자주애용할려고ㅜ합니다,22.04.14.
92,추천합니다.가성비도좋고바송도빠릅니다.,22.04.14.
93,"잘받았습니다
잘받았습니다",22.04.14.
94,즐겨쓰는 제픔 저렴하게 받았어요. 배송도 총알,22.04.13.
95,이가 잘 닦여요 싸게 잘 샀습니다😸,22.04.13.
96,청량감이 좋아 좋네요 치약은 이거,22.04.13.
97,싸서 구매해봤어요.뭐 기본 하겠죠,22.04.13.
98,사용후 상쾌해서 만족합니다,22.04.13.
99,잘받았어요 ~잘쓰고있어요,22.04.13.
100,배송 잘 받았습니다. 배송도 빠르고 제품 상태도 좋네요.,22.04.13.
101,가격에 비해 괜찮은 제품 입니다,22.04.12.
102,배송도 빠르고 포장도 좋아요,22.04.12.
103,저렴한가격 빠른배송 좋아요,22.04.12.
104,항상 사서 사용하는거예요.,22.04.12.
105,저렴히 구매했어요...,22.04.12.
106,"죽염 내츄럴 허브 치약 160g 배송도 빠르고 가격도 저렴하고
죽염 내츄럴 허브 치약도 대만족입니다. 다음에도 재구매 할께요.강추천 ~",22.04.12.
107,"택배비없이 저렴하게 구입할수 있어서 좋구요
치약도 상쾌하고 좋아요",22.04.11.
108,가성비좋고 배송빠르고 여러모로 좋습니다,22.04.11.
109,적당한 가격에 구매를 잘한것 같아요,22.04.11.
110,향도 개운함도 가성비도 좋아요,22.04.11.
111,빠른배송 저렴한가격 좋아요,22.04.11.
112,좋아요 잘쓰고 있습니다,22.04.11.
113,가격ㅊ적당하고 배송이 빨라서 좋아요.,22.04.11.
114,평소 사용하는 치약 저렴히 구매해서 만족합니다,22.04.10.
115,저렴하고 배송이 빨라요 좋아요 잘쓰겠습니다,22.04.10.
116,개운해요..아이들도 잘 사용하네요,22.04.10.
117,꾸준히 쓰는거라 순하고 입안이 상쾌해요.마트보다 저렴해서 재구매 할려구요.,22.04.09.
118,총알배송 포장도 좋고 저렴하게 구매했어요,22.04.09.
119,저렴하게 잘 샀어요 배송도 빨라요,22.04.09.
120,좋아요 여기서 매번 구입할려구요,22.04.09.
121,"항상 이용해요.
좋아요",22.04.09.
122,잘쓰고 있습니다 ㅇㅇ,22.04.09.
123,죽염치약 맘에 들어 좋고 저렴하고 배송빠르고 감사합니다,22.04.09.
124,"포장도 꼼꼼하게 보내주시고
배송도 빨라요",22.04.08.
125,감사합니다.잘받았어요.,22.04.08.
126,가격 착하고 좋아요.,22.04.08.
127,개운해요 개운해요 개운해요,22.04.08.
128,"저렴하고 배송도 빠르고,
개운한 느낌 좋고 가성비 훌륭해요!!!",22.04.07.
129,벌써 10번 이상 계속 이것만 구매합니다~,22.04.07.
130,항상 사용하던 상쾌한 치약 좋아요,22.04.07.
131,"제품은 뭐 워낙 좋은거니 말해뭐해요~
빠른 배송 감사합니다.
잘쓸게요~",22.04.07.
132,완전 개운해요!!! 비싼 치약 다 필요없어요 ㅋ 이게쵝오~,22.04.06.
133,배송 매우 빠르고 진짜 저렴하게 구매했어요,22.04.06.
134,싼가격에 가성비 아주 좋아요,22.04.06.
135,아이들도 사용하기 좋습니다,22.04.06.
136,배송빠르고 제품 좋아요,22.04.06.
137,가성비 good!!,22.04.06.
138,저렴하게 잘 산거 같아요 괜찮아요,22.04.06.
139,가성비 뿐만아니라 품질도 생각보다 좋아요,22.04.05.
140,깔끔하고개운한것같아요,22.04.05.
141,"치약은 죽염치약이 최고입니다
배송도 빠릅니다",22.04.05.
142,배송이 생각보다 너무 빨라서 좋네요. 그동안 편의점에서 비싸게 주고 구매했던게 너무 후회되네요...,22.04.04.
143,완전 시원해서 좋아요 ㅎㅎ,22.04.04.
144,자렴하게 잘산거 같아요.,22.04.04.
145,배송넘빨라서 좋아요,22.04.04.
146,빠른배송 감사드립니다.잘 쓰겠습니다.,22.04.04.
147,늘 사용하는 치약 잘 받아 사용하고 있어요~~,22.04.04.
148,"계속 쓰는 제품이라
항상 잘 쓰고 있어요~
가격 대비 맘에 들어요~
치아 건강에 도움이 되면 좋겠네요~^^",22.04.03.
149,아이가 이 치약을 써야 입냄새도 안나고 상쾌하다고 하네요. 그래서 꼭 이 치약만 써요,22.04.03.
150,진짜 최고로 개운해요 이것만씁니당,22.04.03.
151,가격도좋고 치약도 나쁘지않아요,22.04.03.
152,죽염치약인데 싸고 좋네요,22.04.03.
153,많이 맵지않아서 괜찮아요,22.04.03.
154,아주 좋아요 맨날사요,22.04.03.
155,빠른배성 감사합니다!,22.04.03.
156,잚슬께요. 빠른 배송 감사합니다,22.04.03.
157,빠른 배송 감사합니다. 20개 주문했는데 다 낱개라 당황스러웠어요 다른데서는 5개?4개씩 비닐로 묶였는디....정리하기 귀찮아서요 다 낱개인것은. 저렴해서 좋았슴니다,22.04.02.
158,저렴한가격에 구매해서 잘 쓰고 있어요.,22.04.02.
159,가격 품질 모두만족합니다,22.04.02.
160,개운해서 잘 쓰고있습니다,22.04.02.
161,넘 좋아요 자주살게요,22.04.02.
162,부모님이 좋아하세요,22.04.02.
163,좋아요. 사용 후 시간이 지남에따라 발생하는 입 냄새도 없어지고 좋아요~,22.04.02.
164,"저는 죽염이라 호감이갑니다입속은 청결해야
되겠지요",22.04.01.
165,상쾌한 향이 좋아요 감사합니다,22.04.01.
166,겉상자가 찌그러지고 입은 벌려있었지만 내용물은 안전하니깐요. 유통기한도 2년6개월정도 남았구요. 치약용량도 적은편이 아니구. 허브죽염이라 개운해요 맵지않아서 아이들도 잘 쓴답니다.,22.03.31.
167,"배송 빨라 좋아요.
기본 치약보단 죽염, 영지...
이런류 치약을 좋아했는데, 어느때쯤 잘 안 보이다가, 쇼핑몰에 있길래 구입했어요.
가격도 마음에 들어요",22.03.31.
168,"배송도 빠르고 좋아요
항상 쓰던거라 이번에도 저렴한 가격에
잘 쟁여놨어요",22.03.31.
169,주문한지 얼마 안 됐는데 빨리 배송됐고상품도 만족합니다!,22.03.31.
170,"항상쓰는제품이에요
양치후 아주개운합니다~~^",22.03.31.
171,좋은 가격에 잘구매했네요. 배송도 빠릅니다,22.03.31.
172,죽염 허브치약 잘받았습니다~ㅎㅎ,22.03.31.
173,물품상태 좋습니다.,22.03.31.
174,저렴하게 품질좋은 치약 구입했어요 ~~죽염치약 정말 좋아요!!!,22.03.31.
175,죽염 허브치약은 처음 써봐요. 아직 써보지 않았지만 기대중입니다.,22.03.30.
176,배송비가 따로라서 별로지만 그냥 잘쓰겟습니다.,22.03.30.
177,늘 사용하는 죽염치약 항상 고맙습니다,22.03.30.
178,"꾸준히 사용하고있어요
배송도 빨라요",22.03.30.
179,매번 주문힙니다 싸고 좋네요,22.03.30.
180,신랑이 이것만 쓰자고해요,22.03.30.
181,항상쓰는거라 만족합니다,22.03.30.
182,잘 받았어요 빨리왔네요,22.03.30.
183,안 매워서 참 좋아요. 치약 바를 때마다 매운걸 예상하는데 이 죽염 치약은 안 매워서 이를 오래 닦을 수 있어요.,22.03.30.
184,"항상 쓰는 치약 입니다저렴 하게 구입 , 감사 합니다",22.03.30.
185,향도 좋고 상쾌함이 오래가요. 빠른배송 감사합니다.,22.03.30.
186,항상 사용하는 치약인데 거의 떨어져서 구매했어요 치약가격도 많이 오른 거 같은데 저렴하게 잘 구입한 거 같아요 배송도 빠르고 제품도 괜찮아요 오래 사용할 수 있겠네요~~,22.03.29.
187,전에 쓰던 죽염진 보다는 못하지만 나름 만족합니다.,22.03.29.
188,"입안이 청량해지는 개운함입니다
또 시킬게요.",22.03.29.
189,품질이 우수하고향이 상쾌합니다,22.03.29.
190,입도 상큼하고 좋아요ᆢ,22.03.29.
191,잘받앗어요!,22.03.29.
192,"빨리 배송되었습니다.
항상 사용하던 제품입니다.
잘 쓸께요~",22.03.29.
193,추천합니다추천합니다,22.03.29.
194,배송 빠르고 상품도 좋아요~,22.03.28.
195,조아요 ㅎㅎ 네 ㅎㅎ 난 이제 집에 가서,22.03.28.
196,마트보다 훨씬 저렴해서 좋아요,22.03.27.
197,죽염이 강하지 않아서 아이들이랑 사용하기에도 좋아요,22.03.26.
198,가성비 좋아서 우리 가족은 이것만,22.03.26.
199,가격싸고 빠른배송 아주좋아요,22.03.26.
200,항상쓰던 치약이에요 치약중에선 죽염이 최고,22.03.26.
201,저렴하고 좋아서 이제품 자주 이용합니다.,22.03.25.
202,항상 쓰는 제품이에요~상쾌하고 잇몸관리까지 되니까 좋아요 ㅎㅎ,22.03.24.
203,"입안이 매우 개운해요
이것만 사용할 생각입니다",22.03.24.
204,좋은 제품 저렴한 가격에 만족합니다,22.03.24.
205,빠른배송에 깜짝놀랬네요 좋아요,22.03.24.
206,생각보다 입안이 시원해요,22.03.24.
207,가격도 저렴하고 깔끔해요,22.03.24.
208,"원래 LG 죽염 청향 치약을 사용하고 있었는데
다 떨어져서 새로 주문할려고 보니깐 단종되서 더 이상 생산이 안되더라구요 ㅠㅠ
그래서 저렴한 LG 죽염 네츄럴 프레쉬 허브 치약으로 20개 주문했는데
사용기한 2024년 12월 20일 까지 긴걸로 받았구요.
중국 공장 생산이 아니라 한국 공장 생산 제품이라 더욱 안심입니다^^",22.03.23.
209,오랫동안 쓰려고 넉넉하게 샀어요. 좋아요,22.03.23.
210,양치 후 입안이 상큼하고 시원해요,22.03.23.
211,항상 잘 쓰고 있어요 수고 하세요,22.03.23.
212,포장도 꼼꼼하게 되었어요,22.03.23.
213,가격 착하고 배송무지빠름,22.03.23.
214,"입안이 깔끔한 느낌이 나고 시원한 느낌?
좋아요.",22.03.23.
215,가성비 좋습니다. 가족수가 많아 항상 애용하고 있습니다.,22.03.23.
216,"죽염이라 잇몸에 좋을듯요
싸게 잘 샀어요",22.03.22.
217,좋은제품 저렴하게 구입했습니다,22.03.22.
218,착한가격에 품질도 좋아요.,22.03.22.
219,가격대비 짱 즣아요양도 많고 품질도 너무너무 좋아요 적추입니다 적추입니다,22.03.22.
220,"치약에서 나는 향 자체가 은은해서 양치질할때 헛구역질이없고 산뜻합니다

번창하세요~",22.03.21.
221,"맘에 들어요~~^^
많이 파세요",22.03.21.
222,쓰다보니 좋아서 또 구매했어요 잘 쓰고 있어요,22.03.21.
223,개운한 향이고 저렴하게 잘 구입했습니다.,22.03.20.
224,아주 싸고 좋습니다.아주 싸고 좋습니다.아주 싸고 좋습니다.아주 싸고 좋습니다.아주 싸고 좋습니다.아주 싸고 좋습니다.,22.03.20.
225,"잘 받았습니다.
아내가 이치약맛이 강하지 않아서 좋다고 해서
늘 사용 하고 있네요.
가격도 괜찮아서 쟁여 놓고 사용 하려고 샀네요.",22.03.19.
226,빠른 배송으로 잘 받아서 잘 쓰고 있어요!,22.03.19.
227,좋네요 꾸준히 사용할것같습니다,22.03.19.
228,죽염이라 좋은것 같아요,22.03.19.
229,가성비로 잘 샀어요,22.03.19.
230,항상 쓰는 치약이에요. 가격도 좋고 상품 질도 좋아요,22.03.18.
231,괜찮은거 같습니다 ~~~~~~~~~~~,22.03.18.
232,싸고 양도 많고 개운합니다,22.03.18.
233,개운함,22.03.18.
234,"다 브랜드 치약쓰다가 조금 질리기도해서 다른거 써보려고 주문했습니다. 사실 이것도 예전에 써보긴했는데 이것 저것 돌아가며 써보는 타입이라,
일단 죽염치약은 옛날 소금치약같이 짭짜름한 그런맛은 아니고, 상쾌하고 부담없는 맛과 향이라 예전에도 이거 즐겨쓰긴했습니다. 토탈7치약도 용량이 조금 작긴하지만 냄새, 맛도 그렇게 양치후 개운한 치약이라 좋았었던 느낌을 가지고 있었어요!",22.03.17.
235,치약 사용해보니 너무 좋은것 같아요,22.03.17.
236,"저렴하게 샀어요
시원하고 좋아요^^",22.03.17.
237,오랜동안 사용한제품 좋아요,22.03.17.
238,내추럴 치약 마음에 들어요!,22.03.17.
239,양도 많고 가성비 좋아요,22.03.17.
240,이치약이좋아요~~~,22.03.17.
241,우리 온가족 사용해요 이거만한게 없어요,22.03.16.
242,늘 사용하는제품 저렴하게 구입했습니다,22.03.16.
243,대량으로 구입하니 편리하고 좋네요,22.03.16.
244,잘 ㅅ ㅏ용하고 있어요 만족합니다,22.03.16.
245,가격도 저렴하고 배송도 좋아요,22.03.16.
246,..,22.03.16.
247,빠는배송으로 받았습니다. 유효기간도 넉넉하니 좋아요. 만족한상품입니다.,22.03.15.
248,"매번 쓰는 치약입니다.
좋아요",22.03.15.
249,"항상 믿고 사용하는 치약이에요
허브향이 상쾌하고 기분좋아 이 죽염치약만 씁니다",22.03.14.
250,죽염은 역시 개운하고 좋네요,22.03.14.
251,항상 잘쓰고잇어요 .,22.03.14.
252,배송 매우 빠릅니다.,22.03.14.
253,"정말 개운 합니다
자고 난 담날도 입냄새없어 너무 좋습니다. 원조 죽염만 썻었는데 과감하게 바꿔써본걸 잘했단 생각이 듭니다",22.03.13.
254,항상쓰는거라 홈쇼핑에서 적립금사용해서 사고있어요,22.03.13.
255,"계속쓰고있어요
상쾌하고
개운합니다
강추드려요",22.03.13.
256,평소 쭉~~~이치약만 남편이좋아함,22.03.13.
257,좋아요 또 사고싶은 아이 예요,22.03.13.
258,향도 좋구 부드럽고 좋아요,22.03.13.
259,다이소가더싼거같아요ㅠㅠ,22.03.13.
260,잘썼습니다 감사합니디,22.03.13.
261,"저렴하게 잘구입했어요.사용해보니 향기도 좋고
좋아요",22.03.12.
262,너무상쾌하고 좋아요 가격도 싸고 배송도 빨라요,22.03.12.
263,갓성비에 치약 마음에들어요,22.03.12.
264,역시 죽염입니다~~~~~~~~,22.03.12.
265,상쾌하고 좋네요 굿,22.03.12.
266,가격도좋고 상품도 좋고 무료배송도 좋고 추천합니다,22.03.12.
267,배송도 빠르고 좋아요 ㅎㅎ,22.03.12.
268,페리오 죽염치약 만족 합니다.,22.03.11.
269,배송빠르고 싸게 구입했어요,22.03.11.
270,개운한 느낌이네요 .,22.03.11.
271,배송도 빠르고치약도 좋아서계속주문해서 쓰고 있어요.감사합니다.,22.03.11.
272,죽염이라 좋고~ 허브라 더 좋고~ 9개라 더더 좋아요~♡24.11월 ~ 오래두고 잘 쓸게요 ~감사합니다 ~ 항상 사랑합니다 ~ 꾸벅 꾸벅 ~♡,22.03.11.
273,배송 빠르게 잘받았어요 잘쓸게요,22.03.10.
274,"쓰던거라 샀어요
마트보다 싸요",22.03.10.
275,오프라인보다 훨씬 저렴해요,22.03.10.
276,정말 상쾌하고 개운해요.,22.03.10.
277,가성비 조은 제품이예요,22.03.10.
278,저렴하고 좋아요~~~,22.03.10.
279,가격대비 양도 많아 ~~요,22.03.09.
280,어른들이쓰기넘좋아용,22.03.09.
281,배송이 빠릅니다..,22.03.09.
282,양치후 입안이 개운해서 항상 이제품만 씁니다,22.03.08.
283,싸게 아주 잘샀어용 상쾌해요~~,22.03.08.
284,"가격 저렴하구요.
만족해요.",22.03.08.
285,가성비 좋습니다 가성비 좋습니다,22.03.08.
286,죽염 내츄럴프레쉬 허브 알파 치약 너무 맵지도 않고 좋아요 가성비 굿!,22.03.07.
287,무엇보다 가격이 저렴하게 많이 살수있어서 좋아요,22.03.07.
288,가격에비해서제품이괸찬앗어요,22.03.07.
289,항상 쓰고있어요 좋아요~,22.03.07.
290,항상쓰던거라서조아요,22.03.07.
291,엄마가 죽염 환은고 치약만 쓰시는데 아무리 찾아도 없어서 이걸로 사 봤어요~ 엄마가 이것도 좋다고 하시네요^^ㅋㅋ,22.03.06.
292,애용하는 제품입니다...^^,22.03.06.
293,늘쓰던제품 구매합니다,22.03.06.
294,배성도 빠르고 낱개마다 케이스로 포장되어와서 좋습니다~,22.03.05.
295,제일 잘 맛는것 같아요.계속 이제품만 사용하게 되네요,22.03.05.
296,"이 치약만 써요.
다른거 썻더니 입냄새나요",22.03.05.
297,상품 만족합니다 배송 빠르고 좋아요,22.03.05.
298,치약은 역시 죽염이지,22.03.05.
299,상쾌하고 이가 깨끗,22.03.05.
300,넘 조아요 강추해요,22.03.05.
301,양치하고나면 개운하고 상쾌해서 좋아요,22.03.05.
302,좋은 가격 빠른 배송 감사합니다,22.03.05.
303,싸게 사서 좋아요~~잘쓸게요 사업 번창하세요,22.03.04.
304,항상쓰던거라 배송도 빠르고 좋아요,22.03.04.
305,"저렴하게 구입하게돼어 잘쓰겠습니다.
사업번창하세요.",22.03.04.
306,조아요상쾌해요ㅋㅋㅋ,22.03.04.
307,가성비 좋은 치약이예요 세정력 좋고 거품도 잘나구 개운합니다 재구매의사 있어요,22.03.03.
308,두번째 이번에는 많이 주뮨했어요 포장 배송 좋아요,22.03.03.
309,계속 애용하는 마음에 드는 제품입니다,22.03.03.
310,아주 저렴하게 잘 샀습니다.,22.03.03.
311,저렴한 가격에 잘 구입한 거 같아요. 좋아요,22.03.03.
312,"좋아요~
쭉 쓰고 있는 거여서
앞으로 계속 쓸 예정이에요~
잘 쓸께요~^^",22.03.02.
313,빠르게 배송되었어요. 다른 치약보다 달지 않고 개운한 것 같아요~,22.03.02.
314,늘 쓰던 치약입니다 싸게 구입해서 좋아요,22.03.02.
315,사용후깔끔한기분과 후레쉬함이좋아요,22.03.02.
316,양치후 입안이 개운했습니다.,22.03.02.
317,배송빠르고 만족합니다,22.03.02.
318,"아이들이
죽염치약을 제일 좋아해서
늘 주문합니다
텁텁하지 않고 개운하고
상쾌합니다",22.03.02.
319,싸게 구입해서 좋아요,22.03.02.
320,"향도 좋고,잘 닦이는것 같아요.
배송도 빠르게 왔구요,재구매의사 있습니다",22.03.01.
321,"항상 쓰던 제품인데 저렴하고, 배송도 빨라서 좋아요",22.03.01.
322,잘쓰것 서요 ㅎ 고마위요,22.03.01.
323,어쨋든 죽염이 조금이나마 낫지않을까란 생각에 사용하는데 잘 사용하고 있습니다,22.03.01.
324,상쾌하고 기분좋아요!,22.02.28.
325,괞찮은것 같고 좋네요,22.02.27.
326,"항상 쓰는 치약입니다
비위약한 아이가 이치약만 찾아요",22.02.27.
327,저렴하고 허브향은덜하지만 깔끔하고 좋은것같아요,22.02.27.
328,"적립금 모아 잘 샀어요.오래던부터 죽염 치약 사용합니다.
사업 번창하세요.",22.02.26.
329,저렴하게 많이 쟁여놓을 수 있어 기분 좋습니다,22.02.26.
330,식구들 모두 죽염치약만 사용사용하니다. 입안도 깔끔하구 겨운한게 넘좋아요,22.02.26.
331,"쓰던재품이예용
좋아요 전에.구매햇엇어요",22.02.25.
332,와이프가 좋아하는 향입니다. 잘 쓸께요.,22.02.25.
333,배송 빨라요~ 다음에 또 주문할게용,22.02.25.
334,늘 쓰는 제품^^ 입안이 상큼해요^^,22.02.25.
335,가성비좋네요,22.02.25.
336,빠른배송 감사합니다. 수고하세요.,22.02.25.
337,"원래는 잇몸고를 사용했는데..가격도 좀있고, 금방 사용해서 값도 착하고, 양도 많은 후레쉬 죽염으로 바꿔 봤는데...죽염잇몸고보다는 살짝 약해서 좀더 후레쉬하게 느껴지는 딱 그정도네요ㅎ 잇몸에는 잇몸고가 더 좋게지만 무난하게 사용할 만 합니다^^",22.02.24.
338,저렴하게 잘 샀습니다 떨어질때쯤 재구매 할께요!,22.02.24.
339,죽염 치약 잘.씁니다,22.02.24.
340,여러개 사니 든든하네요~~적립금 써서 값도 저렴하게 잘 샀어요,22.02.23.
341,좋아요~ 배송도 빠르고 대용량을 저렴하게 잘샀습니다~,22.02.23.
342,제춤 아주 좋네요. 가격이 저렴해요,22.02.23.
343,사용중인 제품으로 재구매,22.02.23.
344,가성비 좋고 개운해요~~~,22.02.23.
345,매번 잘 쓰고 있어요~,22.02.23.
346,좋은 상품 빠른 배송 감사합니다.,22.02.23.
347,좋은물건 싼값에 잘받았습니다 ㆍ감사합니다,22.02.23.
348,이상없이 잘 사용중입니다,22.02.22.
349,항상쓰고 있는 치약입니다 가격도 착한가격입니다 다음에도 또 구매하고싶어요,22.02.22.
350,"항상 쓰던 제품이에요.
저렴하고 좋아요.
배송도 빠르네요.",22.02.22.
351,"배송도 매우 빠르고, 상품도 매우 좋은 편임.",22.02.22.
352,죽염성분이 함유되어서인지 약간 소금느낌이 있어 시원한감이 이어요.,22.02.21.
353,재구매해서 잘 사용하고 있습니다.,22.02.21.
354,배송빠르고 포장도 꼼꼼합니다~~,22.02.21.
355,배송이 일주일 걸린거 빼고는 좋아요,22.02.20.
356,죽염 내츄럴프레쉬 허브치약 좋아요,22.02.20.
357,유효기간 24.11.21 입니다~^^,22.02.20.
358,"가격도 적당하고 칫솔질할 때 거품도 적당하네요.
계속 사용하다 보면 효능이 나타날 것같네요.",22.02.20.
359,"늘 쟁여두고 사용하는 제품입니다, 미리미리 구매해서 준비해두면 아주 유용하게 사용할수가 있습니다",22.02.20.
360,"늘 쓰는 거라 대량으로 구입하여 집, 직장에 가져가서 씁니다.",22.02.19.
361,개당 가격이 싸서 여러개 쟁겨놓구 써요~~,22.02.19.
