,내용,날짜
66,가족들 건강한 치아를 케어해주는 좋은 치약입니다.,22.05.01.
67,항상 쓰는데 약간 상큼해진 느낌이 나네요 음..,22.05.01.
68,계속 사용하는 제품인데 저렴하게 구입했어요,22.05.01.
69,항상 이것만 쓰고잇습니다^^~ 배송빨랐어요,22.05.01.
70,항상 쓰는 제품 좋은 가격에 구매했어요,22.05.01.
71,계속 쓰는 거니까요~~뭐 말할필요없죠~~,22.05.01.
72,"배송이 10일만에왔네요
미국에서 오는줄",22.05.01.
73,치약은 암웨이만 사용해요. 정품입니다,22.05.01.
74,배송도 빠르고 넘 좋아요 잘쓰겠습니나,22.05.01.
75,배송 엉망이지만 가격좋고 오긴왓음,22.05.01.
76,"재구매했어요~이 치약으로 바꾼후 다른 치약은 안 사게 되네요 개운하고 상쾌하고 오래 쓰고
넘 좋아요",22.05.01.
77,잘쓰고 있습니다.배송빨라요.,22.05.01.
78,매번주문하고있어요 좋아요,22.05.01.
79,늘 쓰는 제품 어머니 구매,22.05.01.
80,치약은 암웨이가 좋네요,22.05.01.
81,갖고 다니기 편해요,22.05.01.
82,배송이 빨라요 좋은상품 잘 받았습니다 늘 쓰고있는 치약이라서 다른치약은 못쓰겠어요 많이파시고 번창하세요 다 쓰고 재구매하러 올께요 감사합니다 😍,22.05.01.
83,배송 빠르고 좋아요 치약 이것만 쓰는데 다른건 절대 못쓰겠더라요 ㅎㅎ 잘구입했습니당,22.05.01.
84,재구매해서 쓰고 있네요 좋네요 잘 쓸게요,22.05.01.
85,특급배송~ 진짜 딱이네요. 감사합니다!,22.05.01.
86,애용하는 제품입니다. 좋습니다,22.05.01.
87,잘 받았습니다~ 늘 쓰던 치약이고 평소보다 조금 저렴히 구매해서 더 조으네요~,22.04.30.
88,아주 개운한 느낌은 덜하지만 그래서 아이들과 함께 사용하기에는 좋네요,22.04.30.
89,"늘 쓰는암웨이 치약

쟁겨두려고 많이 샀어요
사은품 팩도 잘 쓸께요",22.04.30.
90,늘 쓰던 치약이라 느린 배송에도 참고 기다려 받았네요,22.04.30.
91,"끈일수 없는 상쾌함
한번 사용하면 계속되어야 합니다",22.04.30.
92,배송 빠릅니다. 오랫동안 이 치약만 쓰고있어요~,22.04.30.
93,"항상 쓰는치약이라 리뷰는...
빠른배송입니다...",22.04.30.
94,저렴한가격으로 빠르게배송받아 좋아요,22.04.30.
95,"언제나 옳음~~
빠른 배송 확실한 품질!!!",22.04.30.
96,늘 쓰던 치약이라 잘 구매했어요ㅋ,22.04.30.
97,암웨이 치약은 꾸준히 쓰고 있어요,22.04.30.
98,부모님댁에 보내드렸습니다.,22.04.30.
99,공식싸이트보다 싸게샀네요,22.04.30.
100,잘 사용하겠습니다. 좋아요,22.04.30.
101,제품은 암웨이가 최고에요,22.04.30.
102,빠른반송 감사합니다,22.04.30.
103,배송빠르고 조아요,22.04.30.
104,"항상 쓰는 거라서 같이 주문했습니다
배송 적당하고 물건은 잘 왔습니다",22.04.30.
105,"엄청 빨리 배송되엿고 정품입니다
다름사이트에서 가짜를 사서 ㅠㅠ",22.04.30.
106,"제품은 좋은 제품입니다
배송은조금느리니 감안해서 구매하세요
제품은쓰던제품이라서 괜찬습니다...",22.04.30.
107,그냥저냥ㅠ 그래요.딱히 좋은것도 나쁜것도,22.04.30.
108,입안이 개운해져서 좋아요. 배송도 빠르네요,22.04.30.
109,상괘합니다 감사합니다,22.04.30.
110,"저렴한 가격으로 구입을 잘했습니다, 배송도 빠르고 글러스터치약이 항상이용하기 때문에 좋은 상품으로 알고 잘쓰고 있어요,",22.04.29.
111,"항상 사용하는 치약이라서 뭐 따로 이야기 할것도 없을듯 합니다
배송 빠르고 가격저렴하고 좋아요",22.04.29.
112,"암웨이~~좋은거 다들 아시잖아요,
가격도 타사이트비해 저렴하고 무엇보다 배송은 완전 총알..
덴티스테 사용하다 암웨이로 변경",22.04.29.
113,"다쓰고 재주문 했습니다
매번 쓰고 있는건데 느낌이 너무 좋아요
이거만 쓰고 있어요
근데 뚜껑이 돌리는거라 불편해욤",22.04.29.
114,매번 사용해서 주문하는 치약 개운하고 닦는 느낌이 좋아요,22.04.29.
115,배송이 아주 그지같아서 다신 쓰고 싶지않음,22.04.29.
116,좋은거같은데뚜껑열고닫는게 좀 귀찮네요,22.04.29.
117,사용후 입안이 개운합니다. 양도 많아요,22.04.29.
118,"꾸준히 사용하는 제품이에요.
좋아요!!",22.04.29.
119,아침에 상쾌합니다.양도 많아 좋아요,22.04.29.
120,예전에 써보고 생각나서 주문했어요,22.04.29.
121,가격대비 가성비좋고 배송 빠릅니다,22.04.29.
122,암웨이는 좋아서 계속 구매합니다,22.04.29.
123,배송은 늦네요 늘 사용하는거예요,22.04.29.
124,우리 가족은 이 제품을 좋아해요.,22.04.29.
125,"2년째 사용중입니다
치약중 최고",22.04.29.
126,입안이 텁텁하지 않아서 좋아요,22.04.29.
127,너무좋아용ㅋ재구매각입ㅁ다ㅋ,22.04.29.
128,자고일어난후 입냄새가 안나요,22.04.29.
129,사용후재구매하겠습니다,22.04.29.
130,용량도 크고 만족합니다,22.04.29.
131,암웨이 치약 넘 좋아요,22.04.29.
132,"좋아하는치약입니다,온가족 잘쓰겠습니다",22.04.29.
133,"배송이 빠르네요. 요즘 잇몸이 별로라 구입했어요.
잘 사용해볼게요.",22.04.29.
134,"좋은상품 감사합니다.
역시 암웨이입니다.",22.04.29.
135,항상 애용하는 치약입니다. 빠른배송 감사합니다~,22.04.29.
136,암웨이가 암웨이 했지요.,22.04.29.
137,다른 사이트에서 가품을 사서 반품하고 여기서 구매했는데 여긴 진짜 암웨이 제품이네요ㅋ,22.04.28.
138,늘쓰던 것이라 검색해보고 평 좋은 곳에서 구매했어요. 배송 빠르고 좋네요,22.04.28.
139,항상 애용하는 제품이예요 제일 저렴하게 구매한것 같아요 !! ㅎㅎ,22.04.28.
140,유통기한은 넉넉 하지만..포장지가 많이 찌그러져 있네요..ㅠㅠ,22.04.28.
141,글리스터 치약이 양도 많고 좋아서 매번 사용 중입니다!,22.04.28.
142,"늘쓰던거라 그냥좋아요
배송빠르고 싸게샀어요",22.04.28.
143,"자극없이 개운한느낌
좋습니다
용량도 크고요",22.04.28.
144,첨써보는데 향도 맛도 좋아요.쫑 비싸네요,22.04.28.
145,이치약이젤 좋아요 양도많고 개운해요,22.04.28.
146,배송은 조금 늦었지만 잘 받았습니다~,22.04.28.
147,암웨이 치약은 비싸도 매일 사용해요,22.04.28.
148,역시 암웨이 치약이에요 너무좋아요,22.04.28.
149,원래사용하던거라 좋네요.,22.04.28.
150,사용하면 입안이 개운해요,22.04.28.
151,치약 좋아요 많이 파세요,22.04.28.
152,배송빠르고 물건좋아요,22.04.28.
153,배송이 빨라서 좋아요.,22.04.28.
154,늘쓰는제품~~손편지에 사은품까지 주시고 감사합니다^^,22.04.28.
155,주문하고 배송까지 시간이 좀 걸렸어요~ 배송은 택배사에서 던지신건지 비닐로 포장하셔서 그런지...치약박스가 구겨져서왔어요~유통기한은 2024년 까지 예요~,22.04.28.
156,상품에 만족합니다. 감사합니다.,22.04.28.
157,"배송 18일 주문 28일 배송 배송 엄청 빨라요
제품 시선도 매우 만족합니다~",22.04.28.
158,사장님 너무너무 너무너무 너무너무 좋아요 사장님 사업 대박 나세요 ㅎㅎ,22.04.28.
159,암웨이 치약만 20년 사용중입니다정품 맞아요 가격도 적당해구요왕 추천 합니다이가 시린분 잇몸 질환있는분 효과 봄니다써보세요,22.04.27.
160,배송은 좀 걸렸지만 착한가격에 잘산것같아요 다쓰면 또주문할려구요,22.04.27.
161,시원하고 잘 닦여서 좋아요 왕창 쟁여놔서 맘이 편합니다 ㅋㅋ,22.04.27.
162,항상 믿고 쓰는 제품이라..ㅎㅎ 저렴히 잘 구매했습니다.,22.04.27.
163,"암웨이 치약 좋은건 누구나 다 알죠~~
잘 사용하겠습니다",22.04.27.
164,싼가격에 4개주문했어요. 암웨이가 깔끔하니 좋아요,22.04.27.
165,좋다는 평이 많아서 기대가 되네요 잘 받았습니다,22.04.27.
166,"확실히 구취 제거 효과가 좋습니다.
거품도 잘나요",22.04.27.
167,배송이 좀 느렸고 포장박스가 찢어져서 좀..,22.04.27.
168,늘 애용하는 제품입니다. 잘 쓰고 있어요^^,22.04.27.
169,"가장 깔끔한 치약이에요
배송도 빨랐어요",22.04.27.
170,정기적으로 구입하게 되는 치약입니다.,22.04.27.
171,항상 잘 사용하고 있습니다. 감사해요!,22.04.27.
172,좋아요..다쓰고 재구매 예정입니다,22.04.27.
173,배송도빠르고 포장도잘받았습니다,22.04.27.
174,가족들이 좋아해서 사용해요,22.04.27.
175,세정력이 좋고 향이 조아요.,22.04.27.
176,평소에 사용하던거 입니다,22.04.27.
177,치약은 이것만 씁니다~~!!,22.04.27.
178,very good~,22.04.27.
179,아직사용전이지만 구매후기가 좋아서 구매했어요 써보구 다시 후기올릴께요,22.04.27.
180,"항상쓰는 치약입니다
빨리 보내주셔서 감사합니다",22.04.27.
181,가성비 좋아요. 품질 괜찮아요..,22.04.27.
182,암웨이치약 이치약만 써봐서...앞으로도 계속 이치약만...,22.04.27.
183,암웨이 치약이야 뭐 스테디셀러 아닌가요? 그런데 금액이 많이 올랐어요. 그래도 이것만한게 없다는 생각이 듭니다,22.04.26.
184,"어머니가 벌써 몇년째 이것만 찾아요...
저는 잘 모르겠는데 엄청 좋대요...
그렇다니까 시켜드리는 상품 중 하나에요",22.04.26.
185,늘 사용하는 제품이에요. 암웨이 치약 쓰던 사람은 계속 이거만 쓰는거 같아요,22.04.26.
186,"역시 왜 암웨이 치약이 좋은지...
양치하고나면 개운하고 청량감있고요
깔끔합니다~
써보신분만이 알겠죠~~~",22.04.26.
187,지난번에 사용해보고 좋은것 같아 재구매 했어요. 아주 좋아요 추천합니다~!,22.04.26.
188,맛이 좋은 치약. 재어놓고 잘 쓰고 있습니다.,22.04.26.
189,늘 쓰던거예요. 배송이 늦어 별하나 뺐어요.,22.04.26.
190,11번가 다른 판매자분게 더 많이 싸네요;;;;,22.04.26.
191,청량감이랑 적당한 거품이 너무 좋아요,22.04.26.
192,"저렴하게 잘 샀어요
감사합니다.",22.04.26.
193,늘 다시 쓰게되는치약,22.04.26.
194,늘 이제품만 씁니다,22.04.26.
195,최고의 치약이죠!!,22.04.26.
196,"총알배송이네요.
암웨이 지인에게 구매하는것보다 저렴하네요.
앞으로도 여기서 구매하려구요.",22.04.26.
197,원래사용중입니다 너무좋네요 감사합니다,22.04.26.
198,늘 쓰던거라 주문했어요.빠른배송 감사합니다.,22.04.26.
199,알아주는 치약~ 역시 배송 빠르네요~^^,22.04.26.
200,"치약조아요
암웨이치약 최고",22.04.26.
201,늩 사용해요 조아요 ㅎㅎㅎ,22.04.26.
202,감사합니다좋은하루보내세요 감사합니다,22.04.26.
203,뚜껑이 누르는것보다 저는개인적으로 좋아서 사용하고 치약도 개운합니다.,22.04.25.
204,개운하게 닦이는 맛에 오랫동안 꾸준히 쓰고있는 치약입니다,22.04.25.
205,뚜껑이 좀불편합니다 그리고 치약의 화한느낌이 적어요,22.04.25.
206,빠른배송과 치약은 항상 암웨이로 사용하고 있습니다,22.04.25.
207,처음구입해요 사용해보고 좋으면 계속 주문할께요,22.04.25.
208,암웨이까지 같이 취급하시니 구매하게 좋습니다,22.04.25.
209,"상쾌하고 향도 좋아요
이것만 쓰게 되네요~",22.04.25.
210,배송빠르고 제품도 좋습니다~~ 잘쓸게요,22.04.25.
211,매번 쓰는 제품입니다~저렴히 잘 샀어요,22.04.25.
212,입안이 깔끔하고 아주 만족스럽습니다.,22.04.25.
213,치약 암웨이가 제일 좋아요,22.04.25.
214,싸고 잘쓰고 있습니다 감사합니다.,22.04.25.
215,잘닦입니더 ㅎㅎㅎ추천요,22.04.25.
216,잘받았습니다 좋아요 저렴하게 구매했습니다,22.04.25.
217,"배송빠르고 저렴하게 샀어요
다른 치약보다 비싸지만 비싼값을 합니다",22.04.24.
218,늘 사용하는 제품이에요 써본 치약 중에는 제일 좋은것 같아요,22.04.24.
219,역시 암웨이네요 입안이 개운하고 상쾌해서 최고입니다!,22.04.24.
220,"한 번 쓰면 계속 쓰게되는 치약
개운한데 안매워요 !",22.04.24.
221,여러 치약 써봤지만 암웨이꺼가 젤 좋은 거 같아요,22.04.24.
222,"역시 너무 좋아요
향도 양치후 개운함도 최고에요",22.04.24.
223,암웨이 매번 사용하는 치약이라 좋네요 ㅎㅎ,22.04.24.
224,항상 사용하는 치약 입니다 다른건 못 쓰겠어요,22.04.24.
225,만족해서 지속적으로 사용하는 치약입니다,22.04.24.
226,"타치약보다 사용후 느낌이 너무좋습니다,,",22.04.24.
227,항상 쓰고있어요.싼가격에 재구매했네요,22.04.24.
228,계속 쓰고 있어요 치약은 이게 최고네요,22.04.24.
229,늘쓰는 재품이예요 시원하고 향 좋아요,22.04.24.
230,항상쓰는제품 저렴하게 잘 샀어요,22.04.24.
231,암웨이치약 상쾌하고 좋아요,22.04.24.
232,늘쓰는거라 다시구매합니다,22.04.24.
233,만족하며 사용하고 있어요,22.04.24.
234,믿고씁니다 역시 ㅎㅎ,22.04.24.
235,부드럽고 좋아요~~~,22.04.24.
236,좋아요 빠르고 .. .,22.04.24.
237,"너무너무 좋아요
항상 쓰던 제품입니다",22.04.24.
238,배송이 안됨 문의도 안됨,22.04.24.
239,암웨이 치약이 짜가가 많다고해서 구분 해주는 블로그서 비교해 보니 ㅋㅋ진짜네요 인터넷 구매는 사면서도 맘을 놓을수가 없네요,22.04.23.
240,몇년째 계속 쓰고있는 제품이예요~ 가격도 좋고 배송도 빠르고 감사합니당~^^,22.04.23.
241,암웨이 치약 너무 좋아요. 미백효과도 있고~ 순하고! 이 치약으로 닦고 과일 먹으면 과일 맛이 느껴져요! 그게 제일 신기!! 개운하고! 잘 구매했습니다^^,22.04.23.
242,"상쾌하고 좋아요
부모님 댁에도 시켜드리러 들어왔다가 리뷰 남깁니다",22.04.23.
243,늘 잘 사용하고 있어요~~ 배송도 가격도 너무 좋아요^^,22.04.23.
244,"녹색바가 있는 친환경 제품~
믿고 쭉 쓰고 있고 좋아요",22.04.23.
245,"배송 왜케 빠른거에요?
주문 다음날 받았어요!!",22.04.23.
246,개운해서 암웨이 치약만 찾네요. 좋아요^^,22.04.23.
247,"아주 맵지않지만
텁텁하지 않고 깔끔 개운",22.04.23.
248,가성비 좋아요~ 물론 상쾌합니다.,22.04.23.
249,좋아요 자주쓰는제품입니다,22.04.23.
250,w좋아요 맘에 들어요,22.04.23.
251,담에또시킬게요 ~~^^,22.04.23.
252,다른 치약은 못 쓰겠어요! 가격도 다른곳 보다 저렴해서 잘 샀어요♡,22.04.23.
253,늘쓰던거고 배송이 빨라서 좋아요 ㅎㅎ,22.04.23.
254,"믿고구매하는 곳이에요
제일 저렴하기도하고...
자주는 못 들려도 나 사고싶을때 오니까 계속 열어놔주세요
감사해요
배송도 겁나 빨라요",22.04.22.
255,다 떨어져서 싼치약 썼더니 딸들이 난리네요.. 암웨이치약 없냐고. 입안의 상쾌함이 남다르죠..좀 비싼게 흠이지만.. 이거 쓰는동안은 잇몸염증도 없는듯..,22.04.22.
256,"자극적이지 않지만 세정력은 좋고, 이 시린 증상이 조금 개선되는 것 같아요. 미백효과는 아직 잘 모르겠지만 나타났으면 좋겠네요 ㅎㅎ",22.04.22.
257,늘 잘사용하고 있어요..애들도 어릴적부터 잘쓰고 있는제품입니다...,22.04.22.
258,배송빠른고.상품이 도 아주 좋아요 유통기한 넉넉하고 최고네요,22.04.22.
259,늘사용하는치약입니다.그런데.포장상태가살짝맘에안들어요.몇개가.개별상자가찌그러져있거나.구겨있거나그러네요.치약은이상이없어서그냥사용합니다,22.04.22.
260,워낙 유명하니까요 어렸을때 쓰고 안 써봐서 구매해봤어요,22.04.22.
261,"항상 만족합니다
시원하고 양치한 기분 아주
좋아요",22.04.22.
262,다른치약보다 더 좋아요~ 마모제가 덜 들어간듯,22.04.22.
263,쓰기도 편하고 깨끗하게 닦기네여 넘 좋아요,22.04.22.
264,사용기한 24년 10월까지네요 잘 받았습니다~,22.04.22.
265,"항상쓰던제품 입니다
미백 효과는 좋아요",22.04.22.
266,이 제품을 쓰니 구토가 안나서 좋아요!,22.04.22.
267,잘 닦이고 이가 상쾌한게 오래가요,22.04.22.
268,암웨이 치약이 좋아서 이것만 써요!,22.04.22.
269,잘받았습니다 치약은 이것만 써요,22.04.22.
270,아이랑도 같이쓸수있어 좋아용,22.04.22.
271,너무좋아요 다들아시는건데...,22.04.22.
272,잘쓰고있어요 또 쟁이려구요,22.04.22.
273,정품이네요~^^ 좋습니다.,22.04.22.
274,암웨이치약은 쵝오져,22.04.22.
275,배송도 빠르고 좋네요,22.04.22.
276,좋은제품 좋은가격에 잘 샀어요,22.04.22.
277,잇몸이 약해져서 통증때문에 병원갔는데 임플란트해야한다고해서 예약왔는데 때마침 암웨이치약으로 바꿔서 사용하게됐는데 얼마후 언제아팠냐는듯 통증이사라졌어요 2년째 잘사용하고 있네요,22.04.21.
278,미백 치약이랑 번갈아 쓰는데 너무 맵지도 쓰지도 않아서 좋아여 특유의 달달함과 상쾌함이 있어여 양도 많아서 오래 쓰기도 하네여 ~ 암웨이 치약이야 아는 사람은 다 아니까여 ~,22.04.21.
279,치석이 잘 안생기고!양치 후 텁텁함이 없어서 좋아요조금만 사용해도 만족해요,22.04.21.
280,가격이 좀 나가지만 만족하여 재구매해요최저가로 잘 샀어요,22.04.21.
281,이것밖에 안써요 다른거 이거저거 써봐도 결국은 암웨이,22.04.21.
282,저희 엄마가 좋아하세요. 치석이 잘 제거된다고 하시며.,22.04.21.
283,이 치약이 다들 좋다는데 써봐야지 알 거 같음,22.04.21.
284,치약은 늘 암웨이만 써요 온가족이요,22.04.21.
285,배송이 좀 늦었지만 잘 받았습니다.,22.04.21.
286,10년이상쓰는제품 말로필요없어요,22.04.21.
287,역시 암웨이 치약이네요. 좋아요,22.04.21.
288,암웨이 치약이 젤 좋은듯여~~~~~~~,22.04.21.
289,제일조아용 ㅎㅎ 이거만 써요,22.04.21.
290,프라그에 조아요 늘ㅆ는거라,22.04.21.
291,입안이 깔끔하고 개운해요,22.04.21.
292,잘사용할께요.감사합니다.,22.04.21.
293,늘 쓰던 치약입니다 최공,22.04.21.
294,"늘 쓰는치약
이것만써요",22.04.21.
295,너무좋아요 잘 쓸께요,22.04.21.
296,치약은 이거만 써요,22.04.21.
297,좋아서 계속 재구매,22.04.21.
298,잇몸 때문에 쓰게 되었는데 계속 이거만 쓰게 되네요,22.04.21.
299,잘 쓰고 있습니다 양치후 입안이 깔끔합니다,22.04.21.
300,재구먀해요 배송 빠르고 최저가예요,22.04.21.
301,항상 쓰는 제품입니다 빠른배송 감사합니다,22.04.21.
302,"비싼 치약인데 얼마나 효과가있을지.. 샵에 새롭게 입고된 거 같어 구매했는데, 잘 써볼게요!",22.04.20.
303,"양치하고 나니 너무 상쾌해요~~
가격 배송 모두 굿입니다~~",22.04.20.
304,항상 사용하는거라 믿고 구매 하고있습니다.,22.04.20.
305,늘 이 치약만 쓰네요 깨끗하게 닦이는 기분,22.04.20.
306,치약 중에서 가장 무난하고 좋은거 같아요,22.04.20.
307,늘쓰던거라 많이주문했어요 든든해요,22.04.20.
308,"냄새 좋고
아주 청결한 기분이에여",22.04.20.
309,세정력이 좋은듯 해서 좋습니다.,22.04.20.
310,상쾌하고 좋은거같아요,22.04.20.
311,"빠른배송
정직한 상품",22.04.20.
312,말할필요없어요 ㅎㅎ,22.04.20.
313,"암웨이 치약만 쓰다보니
다른치약은 못쓰겠더라구요~",22.04.20.
314,항상 쓰는 치약.. 배송도 빠르네요,22.04.20.
315,항상 사용 하는 치약 감사히 사용 하지다,22.04.20.
316,가족들이 쓰는 치약이에요 다른 곳 보다 저렴하게 판매하네요~감사합니다,22.04.19.
317,6개 여기가 싼거같아서 가격이 점점 오르네요 보존성분을 다른 안전한성분으로 대처하길 바랍니다,22.04.19.
318,다른거 잠깐썼는데 암웨이로 다시 돌아왔어요.제일 좋은거 같아요.,22.04.19.
319,"매번 쓰던거라 좋아요
입안의 상쾌함이 오래동안 지속되요",22.04.19.
320,수십년째 사용하는거라한치의 꺼리낌 없이 주문했어요,22.04.19.
321,항상 사용하고 군대간 아들에게 보내주고 있어요~~,22.04.19.
322,자주 구매해서 쓰고 있습니다 나름 가성비 좋음요!,22.04.19.
323,늘 쓰는 치약!! 넘 좋아요 든든하네요,22.04.19.
324,가격대비 좋습니다 부드럽고 좋아요,22.04.19.
325,좋다는 소문은 많이들었어요~ 싼건 아니예요 그래도 좋다니 사용해볼려구요,22.04.19.
326,늘 쓰던것 배송 빠르고 좋아요 굿굿,22.04.19.
327,치약이 맵지않고 입안이 상쾌해요,22.04.19.
328,늘 사용하는 치약이라 좋습니다,22.04.19.
329,깔끔하고 개운한 느끼이 좋아요,22.04.19.
330,계속 이것만 주문 하고 있어요.,22.04.19.
331,입안넴새가 덜나는거같아요,22.04.19.
332,대단히 만족합니다. 감사.,22.04.19.
333,깔끔해요 계속사용합니다,22.04.19.
334,치약은 이것만 써요 ㅎㅎ,22.04.19.
335,잘사용할께요 감사해요,22.04.19.
336,배송두빠르고잘쓰개요,22.04.19.
337,개운하고 너무 좋아요,22.04.19.
338,암웨이 치약은 다들 알아주는거라서 평 남길께 없네요 ㅎㅎㅎ,22.04.19.
