,내용,날짜
32,입안이 상쾌하고 좋아요 잘,22.04.28.
33,구매해서 잘 사용중입니다,22.04.28.
34,"라끄시안 치약을 웃긴댓글 유튜브 채널 영상으로
광고를 접하고 흥미를 느껴 한 번 써볼까? 생각해서
구매하고 리뷰를 작성하지 못해서
다시 재구매했습니다.
써보니까 정말 좋아서 리뷰를 쓸려고 하니
리뷰 작성 기간이 지났더라고요.
제가 다 써보고 난 경험으로는 다른 치약은 양치하고 나서 그냥 민트향만 입 안에 번지는 느낌이라면
라끄시안은 입 안이 청결해지고
일단 헛구역질 안 나는 거 때문에 정말 좋았습니다.
다른 치약들은 다 조금씩 헛구역질 났어도
계속 참고 썼는데 이건 아니더라고요.
저희 가족 전부가 쓰는 건 아니지만
친구들한테 좋다고 추천해줬습니다.
사장님께서 정말 좋은 제품 만들어주시고
광고해주셔서 감사드립니다.
앞으로도 계속 살 거 같습니다.
웃긴댓글님 초원님 사장님 화이팅!",22.04.27.
35,천연치약이라 진짜 믿을만한거같아요 가격도합리적이네요 배송도빠르고 제품도 품질이 아주 좋은거같아요 한번써봤는데 넘좋아서추가구매했네요 굿!!!,22.04.27.
36,이걸로 양치하니까 상쾌함이 오래 가서 좋아요 ㅎㅎ,22.04.27.
37,4sh5sh6sh7sh,22.04.27.
38,아빠가 치주염이 생기면서 입냄새 때문에 너무 고민하시더라구요. 사실 같이 있는 가족이 느낄 정도니까 얼마나 스트레스였겠어요. 입냄새 치약 검색해서 샀구요 무불소라서 살균이 안될줄 알았는데 오히려 양치할때 시리지 않아서 좋다고 하시네요. 치과 진료도 같이 받고계시긴 한데 입냄새도 덜 나는 것 같다고 좋아하세요.,22.04.26.
39,"상품은 기대만큼 좋아서 다 사용하면 재구매 할것 같아요.
별 하나 뺀거는 배송은 빠른데 배송 문자가 안한것만 못해서 뺏어요.
한진택배 문자로 저녁 8~9시 배송 예정이라고 하더니
오후 한시쯤에 소리소문 없이 문앞에 가져다 놓고 배송 완료 문자가
저녁 7시에 왔네요.
마침 어머니가 집에 있었어도 소리소문 없이 가져다 놓아서
어머니가 시장 가신다고 나가시는데 발견.",22.04.26.
40,"직접 써보니까 너무 맵지도않고
적당히 화한 느낌에 좋습니다!
요즘 아침 저녁 사무실에서 잘 쓰고있습니다!",22.04.26.
41,좋은효과를기대해봅니다,22.04.26.
42,저렴한 가격에 저렴하지 않는 상품의 성능!!!!! 이건 꼭 사야합니다,22.04.26.
43,"⠀
매운 치약 못쓰는데 이건 많이 맵지 않아서 좋아요
천연성분인데다가 양치 후 텁텁함이 없어서
좋아요 :)

거품은 적당히 나지만 상쾌해요~!!!

잇몸이 잘 붓고 피도 나고 했는데 치약 바꾸고
조금씩 달라지는게 보여요.",22.04.25.
44,사용해보니 좋네요 계속쓰니 쓴맛도 사라지고 개운하고좋아요,22.04.25.
45,가격대비 나쁘지 않아요 청량감이 오래 가는거 같네요,22.04.25.
46,잘 쓰고 잇슴다. 드라마틱한 변화는 아직 임다.,22.04.25.
47,"치약 거품은 거의 없는편
이전 치약은 페리오 썼는데
크게 달라진점을 모르겠음..",22.04.25.
48,너무 좋아요 하루종일 상쾌하네요,22.04.25.
49,배송이 엄청 삐릅니다. 잘 왔어여,22.04.25.
50,"열심히 쓰고 잇슴다.
쓴지 얼마안되서...큰 변화는 못느낌...적극 사용하겟슴다.",22.04.25.
51,양치하고 나면 너무 개운해요,22.04.25.
52,재구매의사 있습니다 ㅎ,22.04.25.
53,항상 이것만 써요. 배송 빠르게 해주셔서 감사합니다,22.04.25.
54,무불소치약이라 구매했어요! ㅎㅎ 개운하고 정말 좋네요! ㅎㅎ 다른 치약들보다 더 개운해요~ 잘 쓰겠습니당,22.04.25.
55,"무불소치약이 라 양치할때 거품은 잘나지않아요! 그래도 개운한감은있구요~ 오히려 거품많이나면 더 안좋다구 들어서 이번에 아이와같이 쓰려구 바꿨네요~
아이도 잘써주네요^^",22.04.24.
56,무불소인데 완전 시원하고 개운해요 깨끗이 잘 닦이고 입냄새도 잡아줘서 상쾌합니다.,22.04.24.
57,최근 구내염이 자꾸나서 주문햏는데 만족합니다,22.04.24.
58,치약이 개운함이 오래가고 기분이 좋아져요 ^^,22.04.24.
59,다른 치약을 못쓰겟어요 이게 최고네요,22.04.24.
60,성분 좋아요 그리고 상쾌해요,22.04.24.
61,치약 깔끔하고 정말 좋아요~,22.04.24.
62,"저희신랑은 이제품만 쓰네요~
근데 확실히 아침에 입냄새가 덜 나는것같아요!",22.04.23.
63,사람마다 다 차이가 있겠지만 전 이게 제일 잘맞네요,22.04.23.
64,배송빠르고 향도 다른향으로 구매했는데 좋아요!!!!,22.04.23.
65,배공빠르고 좋아욤!,22.04.23.
66,"맵지 않고 거품도 많이 안 나서 좋아요 ㅎ
무엇보다 잇몸이 시리지 않아서 너무 좋아요!",22.04.23.
67,"리뷰좋아 주문했어요
치약 유목민인데 이번엔 정착하고 싶으네용
아직 써보기전인데 기대중입니당
한달 리뷰도 갈께유
서비스 감사합니다",22.04.22.
68,"유투브 보고 주문했는데
써보니 정말 상쾌하네요",22.04.22.
69,"항상 만족하고 쓰고 있습니다
그래서 재구매 ㅎ",22.04.22.
70,재구매해서 사용하고 있는데 가격이 비싸요!,22.04.22.
71,양치할때마다 피도나고 잇몸이 안좋아서 주문해봤는데 엄청 상쾌하고 잇몸도 좋아지는느낌이에요,22.04.22.
72,샘플이 좋아서 주문했어요,22.04.22.
73,양치후 상쾌함이 오래가요,22.04.22.
74,입냄새 제거에 짱입니다.,22.04.22.
75,임신때부터 쓰던 치약이고 맘에 들어 꾸준히 쓰네요. 선물하면 다들맘에 들어하더라구요,22.04.22.
76,치약맛이 너무 맵지않고 적당히 화~한 맛이라 맘에 들어요. 양치하고나면 입속 구석구석까지 개운한 느낌이라 좋네요. 입냄세 제거에도 좀 도움도 되는것 같아 만족스러워요.,22.04.21.
77,"치약이 맵지않아서 좋고 양치하고 나면 시원해요.
온가족이 무난하게 사용하기 좋아요.",22.04.21.
78,배송도 빠르고 제품도 좋네요 이 치약 사용하면 확실히 시원하고 상쾌한 느낌 들어요,22.04.21.
79,배송빨리 받았구요. 개인적으로 사용해본 치약중에 제일 괜찮아서 재구매합니다.,22.04.21.
80,맵다는 얘기들이 있어 조금 걱정했는데 깔끔하고 상쾌한게 제스타일입니당,22.04.21.
81,양치를 하고나서도 입냄새가 났었는데 지금은 안나는걸 느끼고 있어요!,22.04.21.
82,양치 후 꺼끌거림 없이 엄청 상쾌하고 입냄새 제거에도 좋아요!,22.04.21.
83,"다른건 괜찮은데 너무 매워요ㅜㅜ
재구매는 고민해봐야겠어요",22.04.21.
84,잘사용하고 있어요 괜찮아서 엄마도 사줫어요미백? 은 잘모르겟어요. 성분은 좋은거 인증되서 구입. 맛은 독하지 않아 아이도 사용가능하갯어요,22.04.21.
85,치아가 시원하니 너무 좋아요 믿고 쓴지 오래요,22.04.21.
86,항상 쓰는 치약이에요 다쓰면 또 주문할게용,22.04.21.
87,치약맛도 나쁘지 않고 사용성 좋습니다!!,22.04.21.
88,맘에들어서 재주문 했어요~ 상쾌해요!,22.04.21.
89,좀 맵기는한데 거품안나서 좋아요,22.04.21.
90,향기 괜찮았습니다.,22.04.21.
91,매우 괜찮았습니다.,22.04.21.
92,"야근도 많이 하고 스트레스 받는 일이 많아서그런지 언젠가부터 잇몸이 무너지고 너무 망가져서그런지 이가 시리고 칫솔질부터 힘들더라구요
잇몸질환에 좋다고해서 구매했어요 일단 천연치약이라서 그런지 성분이 좋고 무불소라 너무 만족하고 사용하고 있어요 선물로도 많이 하더라구요 무엇보다 양치질을 했을때 텁텁한게 없고 청량하니 사용감이 너무 좋아서 만족하네요",22.04.20.
93,"무불소라 기존에 쓰던거처럼 거품이 엄청 나지 않네요
첨에는 좀 매운가 싶었는데 쓰다보니 맵지도 않고 양치 후 에 엄청 개운하네요
특히 입냄새 많이 잡혔어요",22.04.20.
94,저한태 딱잘맞는 치약이에요 임플란트하고 나서 좋은거사용해보고 싶어서 구매픽했네요^^ 가격대비 만족이요 ㅎ,22.04.20.
95,무불소라 안심하고 쓸수있을것같아요 배송도 빠르고 굿 뭣보다도 상쾌해서 좋음!,22.04.20.
96,치약을 써보니까 깔끔하고 상쾌한 느낌이라 좋아요. 가격도 비싸지 않고 성분들도 좋아서 믿고 써도 될 듯 해요.,22.04.20.
97,임산부에게는 분명 좋은 성분의 치약인데 개운하지는 않다고하네요,22.04.20.
98,이가 시리고 양치할때마다 피가나는데 이 치약사용하고선 확실히 잇몸에서 피가 덜 나네요,22.04.20.
99,"아직 사용 전인데, 사이즈도 괜찮고 좋네요 동봉해 주신 향수 샘플 잘 사용하겠습니다~",22.04.20.
100,처음 구입해봐요. 잘 써볼게요!!,22.04.20.
101,써보고있는데 좋은것같아요~~~,22.04.20.
102,치약이 개운하고 좋아요,22.04.20.
103,약간 매눈데 상쾌해요~,22.04.20.
104,사람마다 취향이 다르겠지만 시원한건 그냥그냥 그런데 양치 할 때 느껴지는 치약 맛이 약간 쓴맛?같다고 해야하나 10번 헹구는데 끝나고도 약간 남아있어서 개인적으로 손이 잘 안감,22.04.19.
105,"무불소라 아이들과 함께 사용하려고 구매해봤어요
커피 좋아해서 입이 자주 텁텁한데 양치 후 입안이 개운하고 입냄새도 많이 없어진거 같아요!",22.04.19.
106,저녁에 양치하고 아침에 일어나면 입냄새가 안나요.. 너무 좋네요.. 아주 잘 구매 한 것 같아요^^,22.04.19.
107,무불소 천연치약이라고 해서 구매해서 사용해 봤는데 입냄새도 많이 없어지고 양치 후 상쾌하고 좋아요..,22.04.19.
108,"너무 화하지않아서 좋아요
양치후 잔여감도 없구요",22.04.19.
109,한달넘게 잘 사용하고 있습니다 좋아요,22.04.19.
110,항상 재주문해서 사용하는데 다른곳에서 다른치약 써보면 개운하지 않아요,22.04.19.
111,영치 하고나면 입안이 시원해요.,22.04.19.
112,가성비짱입니다사업번창하세요,22.04.19.
113,역시나 향이 좋습니다요....,22.04.19.
114,좋아요 잘쓰고있엉ㅎ,22.04.19.
115,잘 받았습니다 치약 좋아요~ 반투명 젤타입에 향도 좋고 닦고나서 상쾌하고 개운해서 좋아요~,22.04.19.
116,이 치약 아니면 이제 양치를 해도 입이 텁텁한 느낌입니다. 굉장히 개운한 치약입니다.,22.04.19.
117,배송도 빠르고 사은품 핸드크림도 좋아요,22.04.19.
118,진짜 양치하고 나면 엄청 개운하네요 마스크끼고 입냄새 테스트해봤는데 완전 통과!ㅋㅋ,22.04.18.
119,네이버에 실망해서 이용하지 않을 생각입니다. 다른 쇼핑몰 추천해주세요.,22.04.18.
120,잇몸에 염증이 생겨서 구입하게 되었는대 사용하니 입안이 개운하네요~~,22.04.18.
121,"잇몸이 자주 부어서 치약 신경써서 사용하는 편인데, 잇몸을 잘 케어해주는 느낌이에요~",22.04.18.
122,"회사에서 치약 빌려썼다가 반해서 구매했는데
너무 개운하고 뽀득뽀득~ 이런 치약 첨이예요
재구매 각~ 완전 강추~",22.04.18.
123,잘쓰고있어요 많이파세요,22.04.18.
124,데일리 향수로 좋아요!!,22.04.18.
125,후기가좋아서 사봤는데 후기왜좋은지 알꺼같아요 좋네요 굿~~,22.04.18.
126,할인해서 구매했습니다ㅎㅎㅎ여름에 쓰기 좋아요,22.04.18.
127,"치과 잇몸치료중이라서 치약검색후 구매, 투명한 젤 타입인데 양치하면 진짜 입안이 화 해질만큼 시원하고 입안이 클렌징되는 느낌.
커피도 진짜 매일 많이 마시는데 화이트닝에도 효과있다니
진작 알았으면 좋았을껄, 치과치료 병행중이니 꾸준히 써볼께요.",22.04.17.
128,"너무 시원하네요 안매우면서 상쾌합니다 제
느낌엔 스피아민트 그런 향이 나요 기분 너무 좋아여 입안에 쓰는거니 늘 신경쓰는데 좋은 제품 구매해서 좋네요",22.04.17.
129,맛은 평범하지만 성분이 좋다고해서 잘 사용하고 있습니다 ^^,22.04.17.
130,좋아요 만족해요~ 다음번에 또 주문할게요~,22.04.17.
131,개운하고 텁텁함이 없어서 좋아요,22.04.17.
132,좋아요 개운하니 깔끔,22.04.17.
133,한달써도 진짜진짜 좋아요! 최고^^*,22.04.17.
134,"제형이 부드럽고 딥클린 되는 느낌이에요
잇몸질환이 개선되니 입냄새도 줄어들어
만족합니다^^",22.04.16.
135,상쾌한 느낌이라 좋네요 입냄새케어 목적으로 쓰는데 쭉 애용할 예정입니다 ㅎㅎ,22.04.16.
136,"그냥그래요..
소금맛...
일주일정도 써봤지만...잘모르겠어요..",22.04.16.
137,거품도 많이 안나고 청량감이 오래가고 좋아요,22.04.16.
138,치약유목민입니다 이번엔 정착할수 있을까요,22.04.16.
139,좋아요 좋아요 좋아르용,22.04.16.
140,"마스크쓰게 되면서 구강청결 신경 쓴다고 쓰는데
가끔 느껴지는 구취때문에 엄청 거슬리더라구요ㅜ
이제 마스크 벗을수도 있다는데..
가글도하고해도 나던 구취가 치약만 바꿨는데도
많이 줄었어요!
화이트닝 기능보다 양치하면 느껴지는 시원한
그 기분이 극호입니다!!",22.04.15.
141,"향이좋은데 총5개나구매를했내요
그중에...파란색이랑 검정색은...강한사우나 스킨향...ㅎㅎㅎ 다른것들은 만족합니다 스노우화이트랑 또다른 화이트인데 비누향 그게 젤조아용",22.04.15.
142,"치약이 엄청 상쾌하네요
다음날 아침에도 입안이 텁텁한 느낌이 없고 입냄새 안나서 좋아요",22.04.15.
143,"양치해도 마스크때문에 입냄새가 예민하게 느껴져서 갈아탔어요
깔끔하고 개운한감이 굿!",22.04.15.
144,입냄새 좋아져서 계속 재구매 중~~~,22.04.15.
145,"잘받았어요, 얼른 써봐야겠네여",22.04.15.
146,쓰고있는 제품인데 만족해서 구매합니다,22.04.14.
147,치약은 화하고 시원하며 아주 좋게 사용할 수 있습니다! 언제든지 이 치약을 사용하고 소진되기 전에 사고 또 사요 ㅎㅎ,22.04.14.
148,잘쓰고있어요 개운해요,22.04.14.
149,"삼년째 쓰고 있어요~~~~^^
가품은 안나지만 양치하고 나면 개운하고 시원하고 좋아요",22.04.14.
150,거품도 많이 안나고 상쾌해서 좋아요,22.04.13.
151,감사합니다 아주좋아요,22.04.13.
152,감사합니다 잘쓸게요,22.04.13.
153,적당한가격 적당하지않은 좋은물건! 응?,22.04.13.
154,적당한가격 적당하지않은 좋은물건!,22.04.13.
155,애터미 꺼만 쓰다가 잇몸이 좀 약해져서 사봤는데 살짝 매워요! 뒷맛이 좀 이상한데 잇몸 때문에 써야합니다,22.04.12.
156,생각한 향은 아니었는데 그래도 좋아요!,22.04.12.
157,성분이 좋아서 마음에 들어요!,22.04.12.
158,항상 사용하는 제품이에요. 치약은 여기 제품이 제일 성분도 좋네요!,22.04.12.
159,생각보다 괜찮아요. 인증받고 성분 좋대서 구매햇어요. 임산부라 성분 보고 더 구입하게 되네요,22.04.11.
160,치약 좋아요 잘 쓰는중,22.04.11.
161,상쾌하고 깔끔하네요..가격만 낮았으면 좋겠네요,22.04.11.
162,치아도 정말 많이 하애지고 일반 마트 파는거랑 역시 틀리네요 잇몸도 좋아진거같아요 계속 이것만쓸것같네요,22.04.10.
163,배송 빨랐어요 아직 사용전이지만 구성 포장은 깔끔합니다,22.04.10.
164,양치 하고 나서 개운한 느낌이 들어요,22.04.10.
165,많은 후기를 보고 구입했습니다. 정말 거품 없이 양치하니 좀 색다르네요. 그리고 약간 매운편이라 어린이가 사용하긴 힘들듯 싶네요. 사용후 청량감은 좋은것 같습니다. 2일째 사용중인데 조금더 사용해봐야 익숙해질것 같네요.,22.04.09.
166,"지금도 잘 쓰고 있네요
저희 아빠가 시원하다 하셔요~^^",22.04.09.
167,"확실히
입냄새가 줄었어요

재구매 의향있습니다",22.04.09.
168,"오자마자 사용했는데
상쾌하고 좋아요^^~",22.04.09.
169,시원하고 좋네요~ 다음에 더 자세히..,22.04.09.
170,매번 이치약만씁니다 좋아요,22.04.09.
171,일단 맘에듭니다 좀더 사용후에 상세후기 남기도록 하겠습니다,22.04.09.
172,작년에 처음 접하고 6개월 정도 써본 뒤 좋아서 재구매했어요^^,22.04.08.
173,거품은 잘 안나지만 살짝 매콤하고 닦고나면 개운해서 불소치약보다 아침에 일어났을때 훨씬 더 개운해요~~,22.04.08.
174,입냄새 확실히 잡아주네요~~,22.04.08.
175,조아요 치약좋음지ㅡ음,22.04.08.
176,비교 했을 때 괜찮네요,22.04.08.
177,다음에도 또 살거에요,22.04.08.
178,싸하니 시원합니다~,22.04.08.
179,솔직히 뭐 바르고 급 좋아지는건 말이 안되는거 같고~ 바르고 촉촉합니다~,22.04.08.
180,상품도조고배송도빠름 상품도조고배송도빠름,22.04.08.
181,"물건 잘받았습니다
화이트 향수샀는데 샘플로 보내주신 레인퍼퓸?이 더 제가좋아하는향이었네요",22.04.07.
182,무불소 치약 찾다 구매했는데 잇몸자극도 없고 뒷끝이 넘깔끔해서 좋아여,22.04.07.
183,치약이 조금 맵긴 하지만 괜찮아서 계속 사용합니다.,22.04.07.
184,빠르게 배송이 왔어요 써보고 다시 평 남길게요,22.04.07.
185,향 쥬아요 가격도 저렴하게 사서 잘쓰고있어요,22.04.07.
186,입안이 개운해지네요~!!,22.04.07.
187,성분이 아주 착해요!,22.04.07.
188,"좋습니다.
계속해서 재구매중입니다.",22.04.07.
189,치약에 예민한 신랑도 사용하고나면 입안이 가볍다면서 잘쓰는 치약이라 자주 주문해서 쓰게되네요. 만족.,22.04.06.
190,향도 좋고 천연치약이라 믿고 사용 중입니다.,22.04.06.
191,"좋은지는 모르겠어용
꾸준히 써볼께용",22.04.06.
192,개운하고 좋네요 만족합니다,22.04.06.
193,잘받았습니다 잘받았습니다,22.04.06.
194,잇몸에 신경 좀 쓰려고 치약을 바꿔보려고 구매했는데 괜찮은거 같아서 당분간 한번 쭉 써보려고요. 거품이 적어서 헹구는게 더 간편한듯.,22.04.05.
195,처음 사용해봤는데 너무 좋아요,22.04.05.
196,처음 사용햐봤는데 너무좋아요,22.04.05.
197,1년 넘게 쓰고있는 치약 굿!,22.04.05.
198,가성비 굿임돠 막쓰십시오 ㅋㅋㅋ,22.04.05.
199,나이가 들면서 칫솔도 칫솔이지만 치약의 중요성을 더 알게되는 것 같아요. 친구가 라끄시안 제품 좋다구 해서 추천받아 지금 써보는 중인데 입냄새도 많이 잡아주고 상쾌함이 오래가네요^^ㅎㅎ,22.04.04.
200,꽤 괜찮았어요. 아직 반정도 남았는데 자기전 양치하고 자면 담날 입안이 막 엄청 텁텁하지 않아요.,22.04.04.
201,"천연치약이라 구매했는데 사용하면 상쾌하니 좋아요
입냄새 제거에도 도움을 많이 받았네요 !!",22.04.04.
202,"미백치약 천연제품이라 꾸준히사용하는데
양치후 깔끔해요",22.04.04.
203,애용하는 제품입니다. 향이 빨리 날아가버리는 느낌이 있지만 그래도 좋습니다.,22.04.04.
204,아주 좋아요 상쾌하고 맵긴하지만 ㅎ,22.04.04.
205,자주 이 치약만 써용 상쾌합니당,22.04.04.
206,입안이 깔끔해지는느낌입니다,22.04.04.
207,아이들과 잘 사용하고있어요,22.04.04.
208,개운해서 쓰기 좋아요,22.04.04.
209,이 치약 쓰고나서부터는 다른 치약 못써요,22.04.04.
210,"한달 이상 사용후기

향은 굉장히 달콤하고 부드러운 향입니다
비누아이스크림이 있다면 이런 향과 부드러운 식감일 것 같아요 ㅎㅎ 알콜의 강하고 자극적인 느낌이 없어 좋았구요 무엇보다 애인께서 처음으로 좋다고한 향수입니다",22.04.03.
211,항상 이제품만 써요~ 계속 쓰다보면 이가 조금 하얗게되는것같아서 좋아료,22.04.03.
212,효과까지는 아직 잘 모르겠지만 사용감은 아주 좋네요,22.04.03.
213,좋아요 개운해지는게 느낌좋네요,22.04.03.
214,매번 잘쓰고 있어요,22.04.03.
215,상쾌하고 좋아요~~,22.04.03.
216,"천연성분이 함유되어 있다고 해서 구매했어요
일단 치약을 짜보니까 다른 치약이랑 다르게 투명색이에요
향은 약간 싸~한?향~~
거품이 일반 치약처럼 많아 나는 타입은 아니지만 자극없이 개운하게 닦여서 좋더라구요
그 느낌이 다음에 뭐 먹을때까지 지속되는게 진짜 마음에 들어요
남편도 이 치약 사용해보고 양치 후 개운함이 오랫동안 남아 있다고 맘에 든다고 하더라구요~온가족이 쓸 수 있는 천연 치약이라서 더 좋네요~",22.04.02.
217,"마스크 맨날 써서그런지 입냄새관리 힘들었는데
치약바꾸고 시원하고 개운하니 좋네요.ㅎ",22.04.02.
218,천연치약 중 상쾌한겅로 좋아 몇번째 구매합니다,22.04.02.
219,다른 치약에 비해 더 상쾌한 느낌인것 같아요~ 입냄새도 이전보다 많이 줄은 느낌입니다,22.04.02.
220,빠른 배송 고맙습니다~,22.04.02.
221,좋은제품 감사합니다,22.04.02.
222,몇번째 재구매합니다,22.04.02.
223,거품이많지않은게 오히려 좋았고 성분도 좋고 무엇보다 불소가없고 양치하고나니 개운하고 맛도 일반치약맛이라 거부감없어요 ㅎ만족합니다,22.04.01.
224,배송도 포장도 잘 왔어요~ 처음 써보는거라 아직 사용전이어서 효과는 잘 모르겠네요. 좋은 치약 찾아서 빨리 정착하고 싶네요.,22.04.01.
225,"거품만 좀 많으면 더 좋았을텐데
그외에는 전부 만족합니다",22.04.01.
226,양치후 상쾌함은 좋네요 지속력까지는 잘 모르겠습니다,22.04.01.
227,유통기한이 넉넉해서 좋네요 잘 쓰겟습니다,22.04.01.
228,몇년을 쓰고있는 치약이라 말해뭐해요🤭,22.04.01.
229,작년부터 사용중인데 개운하고 괜찮네요~,22.04.01.
230,잘쓰고 피부에도 좋아요.꾸준히잘,22.04.01.
231,이거쓰면 다른걸 못씁니다,22.04.01.
232,굿굿^^^^♡^^^^^^^^^^^^^^^^^,22.04.01.
233,잘쓰고있어요.좋아요,22.04.01.
234,시원하고 좋아요 거품 많이 안나지만 다른 치약보다 더 시원,22.04.01.
235,양치후 입안이 너무 상쾌해요!,22.03.31.
236,항상 쓰는데 좋아요,22.03.31.
237,할상 쓰는데 좋아요,22.03.31.
238,너무너무너무좋습니당,22.03.31.
239,어떤지 써보려고 한개만 주문했는데 써보니 맘에드네요! 추가로 많이 사려구요 천연치약은 보통 이상한 향과 맛이 나던데 이제품은 상쾌해서 맘에들어요~,22.03.30.
240,두번째 구매입니다 거품은 덜 하지만 기능은 좋은거 같아요 역시,22.03.30.
241,좋다고 해서 믿고 씁니다 양치하고 나면 개운해요,22.03.30.
242,무불소치약 찾던 중 예전에 사용해봤었던 기억이 나서 주문했어요~ 좋은 치약이라고 생각합니다. 좋은 가격에 판매해주셔서 감사합니다!,22.03.30.
243,향기가 참 좋아요 질리지 않구 은은해요!,22.03.30.
244,유기농 제품이라 안심하고 사용해요.,22.03.30.
245,배송 빠르고 품질도 좋습니다.,22.03.30.
246,"빠른 배송 감사합니다^^
상쾌한 느낌의 치약!!
깔끔하게 양치를 끝낼 수 있네요.
치아, 잇몸 같이 케어할 수 있는 가성비 치약이네요👍",22.03.30.
247,깨끗해지는 느낌 좋아요. 약간 달아요,22.03.30.
248,치약 맘에들어요 아주 좋아요,22.03.29.
249,입안이 개운하고 깔끔해요,22.03.29.
250,일년째 계속 쓰고 있어요,22.03.29.
251,향이 넘무 조아영 ~~,22.03.29.
252,여전히 잘 사용하고 있어요 다사용하면 재구매하려고요,22.03.29.
253,사용감은 닦고 나서 입안에 잔여물이 남는 기분이 덜해요 좋은건 더 써봐야 알 것 같아요!!,22.03.28.
254,매운데 입 안 가득 상쾌한 기분이 있네요. 잘 사용하겠습니다,22.03.28.
255,뿌리면 빤짝이가루 같이 나와서 반짝거림 ㅠㅠ,22.03.28.
256,처음엔 적응 안됐는데 3일써보니 상쾌하는군여,22.03.28.
257,"선물받은 지인도 만족하는 핸드크림~!
선물로 주는 사람 받는 사람 모두 부담없는 최고의 아이템인거 같아요",22.03.28.
258,덴@@테 치약보다 좋은것 깉아요!!,22.03.28.
259,데일리로 괘안은듯 자주쓸께요,22.03.28.
260,막 쓰기 좋아요 ㅋㅋ 굿,22.03.28.
261,제품에 이상없습니다,22.03.28.
262,향이 진하네요 ...,22.03.28.
263,클렌징폼으로 지우는거 보다 덜 닦이는거 같은데 ...,22.03.28.
264,향도 무난하고 끈적임없고 촉촉하고 좋아요~!,22.03.28.
265,개운해요 ㅋㅋㅋ 근데 이것만 쓰다가 일반 치약 써보니 더 개운한 느낌 뭐죠? ㅋㅋㅋ,22.03.28.
266,"치약 너무 좋아요
거품이 엄청 잘나는거는 아니지만
엄청 상쾌하고 시원해요
다쓰고 괜찮으면 계속 사용할 예정이에요",22.03.27.
267,"치약 하나 바꿨다고 입냄새 싹 사라졌어요 ㅎㅎ.. 효과 너무 좋네요~
다음에 또 구매할게용",22.03.27.
