,본문,날짜,리트윗,하트
56,이아기 치과데려가는방법 고민해보는달글,,,
57,"@mingq8365
 님에게 보내는 답글",2시간,,1
58,육천이 긁히는것도 신기하고 치과에 육백나온것도 신기함...,2시간,,
59,헐 오늘 치과꿈 꿨다 사랑니 빼러가서 누웠는데 어느순간부터 갑자기 사람들이랑 대피하고 있음 어떤 사람이 다른사람들은 자기가 이끌겠다고 히고 난 밖에서 다른사람들이랑 티 마시고 있는데(?) 전화 한통이 오더니 자기가 사람들 다 대피시켰대 듣고 있던 다른 사람이 거짓부렁이라며 전화 꺼버림,2시간,1,4
60,"근데 문제 씨게 생김
분명 까치한테 이 예쁘게 해달라구 ㅜ 두 손 모아서 기도했는데
황런진 초중생 사진 보면 웃고있을 때마다 빼죽빼죽 덧니 있음
결국 고등학교 기숙사 땜에 일찍 상경한 재노 형 따라서
황런진도 좆고딩 되자마자 교정할 치과 찾으러 엄마랑 같이
속으론 까치,, 그 형 조질 생각 중",2시간,,4
61,"11AY

다시금 생각하게 되었고 내 어머니 또한 집에서 쉬셔도 되는 형편인데도 쉬는 것을 마다하시고 치과 의사를 계속하시는 그 열성에 다시 한 번 생각하게 하는 계기가 되었다. 당장 마음 같으면 지금이라도 마티즈를 팔아 버리고 붓고 있는 적금을 해약하여",2시간,,
62,치과 왔는데 오래 걸린데.. 자도 되겠노,2시간,,
63,"@mingq8365
 님에게 보내는 답글",2시간,,1
64,육천이 긁히는것도 신기하고 치과에 육백나온것도 신기함...,2시간,,
65,"@Suicidal_F
 님에게 보내는 답글",2시간,,
66,"@fore_pitta_love
 님에게 보내는 답글",2시간,,2
67,"서울괴담 후기

1,2 터널,빨간옷은 걍 클리셰 그 자체.. 문구점에서 팔던 500원 괴담집에 나올법함

3 치충 개인적으로 이게 젤 무서웠음 그리고 기생충물인줄알았는데 갑분 우리 치과는

4 혼숨 청레물인데 갑자기 징그러운거 나옴 근데 레즈가 문제가 아니라 보통 커플들은 피를 빨아주나요",2시간,,
68,"집 주변에 치과는 ㅈㄴ 많은데
어린이날에 진료하는 치과는 단 1도 없음",2시간,,2
69,"@frihet__
 님에게 보내는 답글",2시간,,1
70,단거 너무 먹지 마라...치과간다 그러다,2시간,,
71,돈까스 사준다해놓고 치과데려감,2시간,,
72,"@thsustle0
 님에게 보내는 답글",2시간,,
73,"@jemminbarry
 님에게 보내는 답글",2시간,,
74,아미친 치과 오늘이었나?,2시간,,3
75,"이 상심이 큰 결정적인 이유
치과 오픈 시간에 예약해서 7시에 일어나고 그 근처 평점리뷰 좋은 재패니즈 빵집에서 여러 빵 중에서도 메론빵을 기대하며 샀으며 장장 10시간만에 집에 귀가하고 부푼 마음으로 한입 두입 물었으나 크림이란 이름의 금의환향의 맛은 느끼지못하여 일장춘몽이라 하여라",3시간,,1
76,"근데 문제 씨게 생김
분명 까치한테 이 예쁘게 해달라구 ㅜ 두 손 모아서 기도했는데
황런진 초중생 사진 보면 웃고있을 때마다 빼죽빼죽 덧니 있음
결국 고등학교 기숙사 땜에 일찍 상경한 재노 형 따라서
황런진도 좆고딩 되자마자 교정할 치과 찾으러 엄마랑 같이
속으론 까치,, 그 형 조질 생각 중",2시간,,4
77,"11AY

다시금 생각하게 되었고 내 어머니 또한 집에서 쉬셔도 되는 형편인데도 쉬는 것을 마다하시고 치과 의사를 계속하시는 그 열성에 다시 한 번 생각하게 하는 계기가 되었다. 당장 마음 같으면 지금이라도 마티즈를 팔아 버리고 붓고 있는 적금을 해약하여",2시간,,
78,치과 왔는데 오래 걸린데.. 자도 되겠노,2시간,,
79,"@mingq8365
 님에게 보내는 답글",,,
80,"@PYOJIHOON_WIFE_
 님에게 보내는 답글",3시간,,
81,내가 초코빵 사준 거 너희 엄마한테 이르지 않기야 이번 달 치과치료 받아야 한다고 엄청 뿔나있거든 약속해. 손 내미니까 세상 가장 신난 얼굴로 비밀 지키겠다고 웃네. 구여운 것.,3시간,,3
82,소아치과 취직 생각은 있는데 그러면 아이들이 싫어질까봐 고민중,3시간,,1
83,시... 싫어!! 싫어안해배째(마치 치과가기 싫다고 땡깡 부리는 어린애처럼 도리도리함;),3시간,,
84,좋다,4시간,,
85,진짜 공주네…,4시간,,
86,치과에서 얼굴 뼈 사진 보고 충격먹음... 나 뼈가 진짜 작은데 살에 다 가려졌던거였어 살뺐을땨도 얼굴은 그저그랬는데 그건 아직 다 안 빼서 그런거였다네 자극 오지게 받음,4시간,,2
87,치과 오자마자 발견한 게 죠죠라니,4시간,4,3
88,셀프 어린이날 선물 머할까,4시간,,1
89,"@kkulkkurii
 님에게 보내는 답글",4시간,,
90,마피아겜하고싶다..,4시간,,
91,치과송도 잘 부르는 서노 어린이 ,4시간,2,21
92,오늘은 야옹냐옹이 치과 치료 가는 날! 새벽부터 금식/금수하고 있는데 잘 참고 있다. 뉴냐가 출근 안 하는 거 같아서 좋은가봐. 오늘 치료 잘 받고 이빨 컨디션 업그레이드 해보자! #야옹냐옹,4시간,,1
93,치과 자리 http://blog.naver.com/marketarea/222721558864…,4시간,,
94,"바니바니바니바니 눈코 눈코
서면굿윌치과
ㅅㅂ 지하철 버스타면 이거만 듣는듯",5시간,,1
95,"@uarinu
 님에게 보내는 답글",5시간,,
96,내가 초코빵 사준 거 너희 엄마한테 이르지 않기야 이번 달 치과치료 받아야 한다고 엄청 뿔나있거든 약속해. 손 내미니까 세상 가장 신난 얼굴로 비밀 지키겠다고 웃네. 구여운 것.,3시간,,3
97,소아치과 취직 생각은 있는데 그러면 아이들이 싫어질까봐 고민중,3시간,,1
98,시... 싫어!! 싫어안해배째(마치 치과가기 싫다고 땡깡 부리는 어린애처럼 도리도리함;),3시간,,
99,좋다,4시간,,
100,진짜 공주네…,4시간,,
101,"웃겨... 치과가서 돈 60깨지는꿈꿯ㄴ어
...사실안웃김 진짜이렇게되기전에 치과갈라고 응응 느슨했던 내 치아에 긴장감을 주는 꿈",5시간,,2
102,하 시바 공휴일엔 왜 치과가 안여나요 제이빨이썩어문드러졋는데여,5시간,,
103,"하... 인생
치과에선 이빨상태 안좋다고 탄산 금지
한의원에선 위장장애라고 차가운거 금지
탄산수광인에 겨울에도 아이슝 좋아하는데 망했어요...",5시간,,
104,"5/3 화
치과 우측 잇몸 치료 처방전 제외 31100 원 
오징어볶음 달걀 추가, 부타동
천재 아냐? 이거밖에 안 먹었어. 이대로 10년만 하면 45킬로다!",5시간,,1
105,오늘크바일기:곤님이 30가자고하셧는데 저 고래가 모험갓어요 햇더니 30은 없이도 갠찬다고해서 아오키하고 럴럴럴하고 갔더니 문앞에서 갑자기 50가자시며 덱고가심 돈까스사준대서 따라갓더니 치과였던 5세어린이의 기분이 먼지 좀 알것같앗음 그치만 재밌었어요 상지첨써봣다,5시간,,3
106,키보: 역 앞에 새로 치과가 개업했다면서 뭔가를 나눠주고 있었어요. 이미 주변에 치과가 10여개 정도 있는지라 힘들텐데…라 생각했는데 나눠주는 것이 딱딱한 사탕인것을 알게 되었습니다. 비즈니스 기회는 이렇게 개척하는걸까요? 감탄했습니다!,5시간,,
107,"@Lionmelody47
 님에게 보내는 답글",5시간,,
108,"지금 껏 본 치과 의사 중에 제일 잘 생긴 거 알아요? 아니, 장난 아니에요. 언제든 절 끌고가서…….",6시간,,
109,"이건 무진태주네 아가 같다. 치과에 가서도 입 더 크게 벌릴 수 있을까? 하는데 입만 동그랗게 구멍이 난 천 휙 빼내더니 ""선생님 저는 이것이 최선입니다."" 하고 다시 누워서 야무지게 얼굴에 천 올리면 태주가 괜히 민망해서 죄송하다고 할 것 같다. 콩 심은데 콩 나고 팥 심은데 팥 난다더니. ~_~",6시간,,13
110,경찰도 치과는 무서운가봐요.,7시간,,
111,"이 친구 월급 170 받고 적금 50 어쩔 수 없이 넣더니 나머지는 매일 술 쳐마시고 출근하고 필카 30짜리 지르고 이것저것 해서 10일만에 50 남았다고..... 제정신인가 진짜
치통 땜에 힘들다고 찡찡거리고 약 사야된다고 돌아다니고 그러더니 치통 사라지니까 정작 필요한 치과 치료는 안하고 하....",7시간,,
112,니 치과 갈 생각은 있냐고 하니까 그딴거 없다고 내가 답답해서 치과 가라고 자주 얘기했더니 작작 얘기하라고 그 지랄... 넌 진짜.... 답이 없다.....,7시간,,
113,진짜 걔처럼 발전 없는 애도 처음 봄 형편이 안 돼서 어릴 때 제대로 치과 치료를 못 받아서 지금까지 고생하고 있음 치통이 최근 들어 자주 와서 약도 구해주고 했는데 얼마 전에 같이 첫 월급 탔고 이제 치과 가겠거니 했는데 월급 탄지 10일만에 50 남겨두고 다 써버림 미친년인가 진짜,7시간,,
114,싫어하는것 공산당 치과 검은깨 경구피임약 정관수술,7시간,,
115,"@salmon_0318_
 님에게 보내는 답글",9시간,,
116,"@uarinu
 님에게 보내는 답글",5시간,,
117,"웃겨... 치과가서 돈 60깨지는꿈꿯ㄴ어
...사실안웃김 진짜이렇게되기전에 치과갈라고 응응 느슨했던 내 치아에 긴장감을 주는 꿈",5시간,,2
118,하 시바 공휴일엔 왜 치과가 안여나요 제이빨이썩어문드러졋는데여,5시간,,
119,"어떻게 오선의가 28년모솔인 설정일수가..
것보다도 교정하러 가서 치과에서 만나는거나고요
ㅋㅋㅋㅋ 아",10시간,,
120,"윹타 바로 테요 양볼 손으로 감싸고 꾸욱 눌러서 찌부시키다가 테용이가 아 모해…ㅠ 하니까 그제서야 입술에 뽀뽀 쪽 한 번하고 
‘뽀뽀는 이거.’ 이럼. 그리고 윹타가 테용아 입 좀만 벌려봐.  하니까 테용이 무슨 치과검진 받는 거 마냥 와앙 벌려서 윹타는 또 끅끅 웃음. 아니 그게 아니라 ㅋㅋㅋ",10시간,,2
121,"아 장치 왜 커졌냐고~~ 
미챴냐고~~~~ 치과 가야하는데~~ 언제 가냐도~~~ 돌랏냐고~~~~",10시간,,
122,"네네 치과갈게요
나를 실란트로 메꿔줘요",10시간,,
123,옛날이야기 오븐 온종일 와인 왕비 우승하다 운반 웃어른 인사말 자판기 장모님 저녁때 저울 적어지다 지폐 진실로 촛불 출퇴근 치과 테스트 통역 퇴근하다 표시하다 피로하다 하 한데 혼잣말,10시간,,
124,지엱이도 과자 엄청 좋아하지만 차마 르댜 돈으론 과자 못 사먹어서 르댜한테 과자 많이 먹으면 이 아야한다고 함. 사실 지엱이가 과자 먹고 양치 안 해서 치과간 적 있기도 해서 더 그랬음. 그럼 르댜가 시무룩해져서 준비물만 사서 터덜터덜 걸어가면 지엱이가 급하게 문방구 가서 과자 사올 듯,10시간,,10
125,"돈까스사준다고구라치고치과데려갈라하면
안경한번치켜올리묜서 권녜준다컸죠?안속죠?구라치고치과데려가려는거딱걸렸죠?할것같음",11시간,1,1
126,"@rmfpdlandi
 님에게 보내는 답글",11시간,,
127,"아 안녕하세요 익명님~!!!
정확히 따지면 2번입니다!

이게...치과치료를 받으려면 어쨌든 무하한은 꺼야해서<아픈것도 쪽팔리고 입안(어쨌든 몸 내부랑 직통으로 연경될)을 모르는 …

다음은 질문 상자에",11시간,,
128,"@goPygargo
 님에게 보내는 답글",11시간,,1
129,"@minorchihyang
 님에게 보내는 답글",11시간,,2
130,암살 상대의 치과인형이됨,11시간,,
131,"신해량이 자제하지 못하는 바람에 치과에 사람 몰려서 그날 근육통 난 무현이 마사지 해주는 해량씨 보고픔

근데 일반인이라는걸 간과하고선 꽉 주물렀다가 멍 들 것 같음.

죄인에서 대역죄인 되버리고 안절부절하는 마음이여린거대한이빨을찢는말티즈 같은 해량씨 보고선 괜찮다고 하는데",11시간,3,5
132,"아
치과가야겠다
어린이날엔 안열겠지",11시간,,
133,그래 니는 오늘부터 치과가는 스페이스 켜야하는 의무가 생겼어,11시간,,
134,"치과+서울 왕복 = 체중 감량
뭔가 좋기도 하고 아니기도 하고..",11시간,,1
135,"왓슨:자네 형이 문자를 8개나 보냈어.
셜록:급한 일이면 치과를 취소했겠지.
왓슨:뭘 취소해?
셜록:형은 말로 할 수 있을 때는 절대 문자 안 해.",12시간,,1
136,,,,
137,"@rmfpdlandi
 님에게 보내는 답글",11시간,,
138,"아 안녕하세요 익명님~!!!
정확히 따지면 2번입니다!

이게...치과치료를 받으려면 어쨌든 무하한은 꺼야해서<아픈것도 쪽팔리고 입안(어쨌든 몸 내부랑 직통으로 연경될)을 모르는 …

다음은 질문 상자에",11시간,,
139,"@goPygargo
 님에게 보내는 답글",11시간,,1
140,,11시간,,
141,"왓슨:자네 형이 문자를 8개나 보냈어.
셜록:급한 일이면 치과를 취소했겠지.
왓슨:뭘 취소해?
셜록:형은 말로 할 수 있을 때는 절대 문자 안 해.",12시간,,1
142,이러고 울면서 보기,12시간,,
143,헐 갑툭튀 많음 ? 시발 나 못볼것같은데 ㅋㅋㅋㅋ 저 존나 존나 조오오온나 새가슴이라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅜㅠㅠㅜㅜㅜㅠ곡성도 러닝타임 내내 눈 가리고 봤는데요ㅜㅜㅠㅠ,12시간,,
144,"@tttap_1010
 님에게 보내는 답글",12시간,,
145,"@Ma_Bom_somsom
 님에게 보내는 답글",12시간,,
146,열심히 노력하면서 하나 집어서 씹어봤는데 안될거같다...이거 다 먹겠다고 하면 치과가야할듯 그런 단단함이야...,12시간,,
147,교정유지장치너뮤안해서 지금끼워도안들어갈거같애…………그냥치과검진째고깊다 흑흑방학때가야되는데,12시간,,
148,"아이들이 실습에 임하기 전에, 그러니까 화요일 쯤 됐을겁니다. 치과의를 지망하지 않는 이상 카데바의 얼굴까지 들어내는 경우는 없습니다만, 혹시나 해서 헤드를 맡은 테이블의 입을 벌려보았던 기억이 나는군요.",12시간,,
149,내가 치과를 무서워해서 그런가 고어물은 봐도 이빨 뽑는건 못보겠어 으아악악악,12시간,,
150,그대신 스케일링하러갈때마다 치위생사와치과샘에게모두칭찬받음,12시간,,1
151,"@_yum_yummy_l
 님에게 보내는 답글",12시간,,
152,프레이한테 돈가스 먹으러 가자 해놓고 같이 치과가는 상상.,12시간,3,2
153,"빙와기:사존이내가무서울까봐배려해서이렇게거짓말을하신거일텐데무서운척해야되나아니근데그러면사존이나를너무애로생각하시는게아닐까의젓하게행동해야되는데사존을걱정시키는게아닐까하지만...더보기
ㅅㅊㅊ:(길가다생각나서데려왓는데굳어잇내긴장햇나?치과에겁먹을수도잇는거임?남주도?)",12시간,,
154,"남주 얘기
엄마 가게랑 아빠 가게를 왔다 갔다 하면서 여전히 장거리 & 대량 주문 배달을 뛰고 있다 가끔씩 시키지도 않은 겨울이한테 배달을 가기도 한다 (오늘은 너네 집 형 없네? 응 잘 먹고) 요즘은 어금니가 좀 아파서 치과에 다니고 있는데 문득 치과 일을 하는 것도 나쁘지 않겠단 생각이 든다",12시간,1,3
155,"이거, 듣는 사람마다 전~ 부 다 물어본다요. 무지무지, 잘한다요! 치과는 무섭다요, 분위기도 무섭고~ 냄새도 싫어서, 열심히!",12시간,,
156,"왓슨:자네 형이 문자를 8개나 보냈어.
셜록:급한 일이면 치과를 취소했겠지.
왓슨:뭘 취소해?
셜록:형은 말로 할 수 있을 때는 절대 문자 안 해.",12시간,,1
157,이러고 울면서 보기,12시간,,
158,헐 갑툭튀 많음 ? 시발 나 못볼것같은데 ㅋㅋㅋㅋ 저 존나 존나 조오오온나 새가슴이라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅜㅠㅠㅜㅜㅜㅠ곡성도 러닝타임 내내 눈 가리고 봤는데요ㅜㅜㅠㅠ,12시간,,
159,"@wang_king__
 님에게 보내는 답글",12시간,,
160,"치과쌤의 '아프진 않은데 좀 시려요~' 한마디가 젤 무서운듯
많이 시릴것이다
그냥 마취시켜주세요
절 기절시켜 주세요...",12시간,,
161,"@Voicema_ilbox93
 님에게 보내는 답글",12시간,,1
162,"@_minhaneul_
 님에게 보내는 답글",13시간,,1
163,상여자특 치과가서 이빨빼지 않음,13시간,,
164,"그..근본없이 한 상상은 아니고.. 아까 엄마랑 대화하다가 엄마가 예에ㅔ전에 마트에서 있었던 일들을 아예 기억 못하시길랴.. 
아까 치과 다녀오셔서 그런지 오늘따라 그 부분이 계속 걸려 보이셨음 혹시나 하는 마음이 드시는거지..",13시간,,
165,"근황
일주일좀 안되게 계속 아파서 어제 치과예약잡앗거든 근데 오늘 일어나고보니 감쪽같이 안아프고난리
이얘기햇더니 동생이 마인드차이 ㅇㅈㄹ해서 킹받아미치는줄알앗음 아오~",13시간,,
166,"@_minhaneul_
 님에게 보내는 답글",13시간,,
167,"@picture_4u
 님에게 보내는 답글",13시간,,
168,TR 치아 상하면 뭐... 치과가서 호박약 먹는 거죠.,13시간,,
169,서울가면 치과바로 가야지 임플란트 흔들림,13시간,,
170,"ㅅㄷ)ㅋㄹㄴ로 미루고 미루던 치과수술 해야해서 앞으로 한달간 금주하라는 말에 3주정도 안마시던 알코올 급땡겨서 벌컥벌컥~!!
태형시 놓침... ㅜㅜ
방탄 31일 챌린지 아직 못함...ㅠㅠ
소환응답도 아직 못함...ㅡㅡ;
앤솔로지 앨범 생각만 가득...
어쩐지 아까 낮부터 오늘 뭔가 느낌 오더라니...",13시간,,11
171,"@lIlIIilIIllIIil
 님에게 보내는 답글",13시간,,
172,하….진짜 브나나 존나 웃김…,13시간,,
173,"@omi_om17
 님에게 보내는 답글",13시간,,
174,"저의일정
목 결국마무리하지못한커미션.2장해치우고 냉장고청소!!!!! 모든것을다내다버리기
금 치과.본뜨기
토 아기사슴생일카페. 닥스2
일 아기사슴생일캎체",13시간,,
175,"@SoraBaek1
 @bluetaetae_1230
  님, 다른 사람 3명에게 보내는 답글",13시간,,2
176,"@wang_king__
 님에게 보내는 답글",12시간,,
177,"치과쌤의 '아프진 않은데 좀 시려요~' 한마디가 젤 무서운듯
많이 시릴것이다
그냥 마취시켜주세요
절 기절시켜 주세요...",12시간,,
178,"@Voicema_ilbox93
 님에게 보내는 답글",12시간,,
179,"@okidokiRocky
 님에게 보내는 답글",13시간,,1
180,"@chocojibsa
 님에게 보내는 답글",13시간,,
181,아무래도 왼쪽 아랫니 충치 생긴 거 같은데 경기도가 준 돈으로 치과 다녀와야겠다,13시간,,
182,치과에서 입 벌리라할 때 나같음,13시간,1,
183,아 근데 생각해보니까 나 토요일에 치과 또 가는디??? 일욜에 치킨...먹을 수 잇겟나...ㅋㅋㅋㅋㅋㅋㅋㅋ....근데 솔직히 지금 고무줄때문에 하루하루...치아가 더 말랑해지는 느낌이긴 함...(뭐 먹을 때 점점 아파지고 있단 뜻),13시간,,
184,"지금은 안가는데 날 위해서 뭘 빌어본 적은 화장실에서 귀신나올것같을 때와 치과가서 눈감고 입벌릴때....
...
나머지는 보통 내가 아는 범위에서 힘든 사람들을 위해.... 쪽팔린건그중 말석에 오키타소고가있었다는건데 아니 진심 힘들어보였고 너 사람 많이 죽였는데 좀 속죄하라고빌어줬다 왜 뭐",13시간,,
185,정말 이상한 사람들이야.. 여기 치과 없나요?,13시간,,
186,"이 시간에 여는 치과가 있는게 신기하네요~
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅋ",13시간,,
